pid,title,link,responsible,activity,sector,cost M€,cost MDT,governorate,context,detail,impact,financialarrangment,image_urls,images
4126,Marina Bizerte,http://tunisia2020.com/en/projet/marina-bizerte/,Bizerte CAP 3000,Tourism,Private,120,300,Bizerte," 
                                 Enhance recreational boating activities in Tunisia and specifically Bizerte to be a key destination in the Mediterranean 
Diversifying the offer by developing premium services that appeal a well-off clientele with high purchasing power 
Create 2,000 jobs, including 500 permanent and 1500 seasonal positions","  
                                 Develop a Marina project with all its components including : 
Leisure Port covering 35 ha water, including 5 000 meters of quays 
Real Estate component, “NAUTILUS” Residence including 300 luxurious apartments 
Marina Promenade including luxury boutiques, shopping centers, coffee shops, restaurants, night clubs, fitness club, swimming pool, yacht club… 
A shipyard for local repair, maintenance and technical assistance 
 
 
 
 
Central quay accomplished in May 2016 
Floating pontoons ready to be operational by the end of the Promenade construction works 
Real Estate : construction works have been resumed (40%) after 2 years of interruption 
The Marina Promenade component is pending financial structuring 
The entire project will be concluded in 2019",," 
                                 Private project 
12 M $ of fund-raising",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/145-Marina-Bizerte.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/145-Marina-Bizerte.jpg', 'path': 'full/a8d7d91d578ebf2b932599669a2d19047681c9d3.jpg', 'checksum': 'c1146aede7b6a602724218686c24b509'}]"
4120,Hatchery – fry production,http://tunisia2020.com/en/projet/hatchery-fry-production-4/,The Sea Hatchery of Carthage,Agriculture,Private,4,10,Sousse," 
                                 Introduction of the modern techniques and modern technologies for the production of high quality fries 
Contribute to the decrease of the fry imports 
Improvement of the market supply 
Creation of job opportunities in the region","  
                                 Introduction of the modern techniques and modern technologies for the production of high quality fries 
Contribute to the decrease of the fry imports 
Improvement of the market supply 
Creation of job opportunities in the region",," 
                                 Investment to be made by private operators in a partnership with the project promoter.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg', 'path': 'full/e209582a6653dd88f3544e6871f6531dd76f6f94.jpg', 'checksum': '1ccdd71102b8320060212e98a3e82bfb'}]"
4115,Agricultural tourism project,http://tunisia2020.com/en/projet/agricultural-tourism-project/,The Chebbi Company,Tourism,Private,6,15,Béja," 
                                 The optimal use of the available resources of the farm 
The creation of new job opportunities 
The strengthening of the export efforts of the agricultural products","  
                                 This agricultural tourism project includes: 
The planting of biological olive trees on a surface of 150 hectares with a production capacity of 1000 tons per year. 
The creation of a lake with 1 million m3 capacity. 
The installation of a press with an extraction mode in compliance with the requirements of the organic standards as well as an olive oil packaging unit. 
The creation of touristic units including parks and rural ecologic residences.",," 
                                 Investment to be made by private operators in a partnership with the project promoter",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/116-Tourisme-agricole.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/116-Tourisme-agricole.jpg', 'path': 'full/14dbdff8823582db407fa3b2860909ebf6df0040.jpg', 'checksum': '97bbff97f754cd507401b8358d1a572b'}]"
4118,Hatchery – fry production,http://tunisia2020.com/en/projet/hatchery-fry-production-2/,The Primafish Company,Agriculture,Private,14,35,Mahdia," 
                                 Introduction of the modern techniques and modern technologies for the production of high quality fries 
Contribute to the decrease of the fry imports 
Improvement of the market supply 
Creation of job opportunities in the region","  
                                 The project aims to implement an aquaculture production unit specialized in the fry production: sea beam fry and sea bass fry 
The main components of the project: 
The construction of a hatchery with a production capacity of 50 million fries 
The creation of a sea water supply station 
The creation and equipment of a laboratory and a processing unit",," 
                                 Investment to be made by private operators in a partnership with the project promoter.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg', 'path': 'full/e209582a6653dd88f3544e6871f6531dd76f6f94.jpg', 'checksum': '1ccdd71102b8320060212e98a3e82bfb'}]"
4119,Hatchery – fry production,http://tunisia2020.com/en/projet/hatchery-fry-production-3/,The Cap Farina Company,Agriculture,Private,8,20,Bizerte," 
                                 Introduction of the modern techniques and modern technologies for the production of high quality fries 
Contribute to the decrease of the fry imports 
Improvement of the market supply 
Creation of job opportunities in the region","  
                                 The project aims to implement an aquaculture production unit specialized in the fry production: sea beam fry and sea bass fry 
The main components of the project: 
The construction of a hatchery with a production capacity of 20 million fries 
The creation of a sea water supply station 
The creation and equipment of a laboratory and a processing unit",," 
                                 Investment to be made by private operators in a partnership with the project promoter.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg', 'path': 'full/e209582a6653dd88f3544e6871f6531dd76f6f94.jpg', 'checksum': '1ccdd71102b8320060212e98a3e82bfb'}]"
4114,Hatchery – fry production,http://tunisia2020.com/en/projet/hatchery-fry-production/,The Hatchery of Carthage –Ksour Essef,Agriculture,Private,6,15,Mahdia," 
                                 Introduction of the modern techniques and modern technologies for the production of high quality fries 
Contribution to the decrease of the fry imports 
Improvement of the market supply 
Creation of job opportunities in the region","  
                                 The project aims to implement an aquaculture production unit specialized in the fry production: sea beam fry and sea bass fry 
The main components of the project: 
The construction of a hatchery with a production capacity of 20 million fries 
The creation of a sea water supply station 
The creation and equipment of a laboratory and a processing unit",," 
                                 Investment to be made by private operators in a partnership with the project promoter.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg', 'path': 'full/e209582a6653dd88f3544e6871f6531dd76f6f94.jpg', 'checksum': '1ccdd71102b8320060212e98a3e82bfb'}]"
4125," Implementation of an aerial cable railway in Boukornine, Mont Zaghouan, Ain Draham and Tabarka ",http://tunisia2020.com/en/projet/implementation-of-an-aerial-cable-railway-in-boukornine-mont-zaghouan-ain-draham-and-tabarka/,"The Ministry of Agriculture, Water Resources and Fisheries",Transport,Private,120,300,Ben Arous," 
                                 Development of the ecotourism 
Improvement of the region inhabitant’s incomes 
Creation of new direct and indirect employment opportunities","  
                                 It is a project of transport by cable through a forest landscape in Boukornine, Mont Zaghouan, Ain Draham and Tabarka . 
The cost of each project is 100 Millions DT.",," 
                                 The project will be carried out through the granting of a concession following a call for competition preceded by a call for expressions of international interest.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/145-Marina-Bizerte-1.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/145-Marina-Bizerte-1.jpg', 'path': 'full/07b21e5215ed9e3d2d8e5fe7a9276d4e5b6af47b.jpg', 'checksum': 'c1146aede7b6a602724218686c24b509'}]"
4124,Strengthening program of the distribution network of natural gas,http://tunisia2020.com/en/projet/strengthening-program-of-the-distribution-network-of-natural-gas/,The Tunisian Company for Electricity and Gas (STEG),Energy,Public,100,250," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Jendouban, Kairouan, Kasserine, Kébili, Large cities suburbs, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Scalable across Tunisi, Scalable across Tunisia, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Improving the living conditions of the population 
Environmental preservation 
Reduction of state grants in the energy field","  
                                 Extension of the natural gas transport pipelines of different diameters 
The installation of meters, regulators and gas taps 
 
 
The Studies are on going",," 
                                 To be carried out by The Tunisian Company for Electricity and Gas by an external loan",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/135-gaz-naturel.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/135-gaz-naturel.jpg', 'path': 'full/c0e27aebd9afc20c20e6c0a8699ef71cd2bc6534.jpg', 'checksum': 'da916443ea9884cba5ca3b286efa24a7'}]"
4129,Civil Service's ERP,http://tunisia2020.com/en/projet/civil-services-erp/,"Ministry of Communication, Technologies and Digital Economy",Information and Communication Technologies (ICT),Public,40,100," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Kairouan, Kasserine, Kébili, Large cities suburbs, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Scalable across Tunisi, Scalable across Tunisia, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Enhance Civil Service operational efficiency 
Build a Citizen-centric &amp; business friendly civil service ERP 
Address new e-Government requirements 
Provides dashboard, statitistics &amp; KPI to enable real time monitoring 
Enable technical (cloud, sAAs) &amp; functional evolutions and innovations 
Create 1000 jobs in 3 year and enhance tunisian ICT companies revenue and skills 
Make Tunisia a leader in large-scale ERP integration for Africa and Europe support","  
                                 Replace obsolete, fragmented and inadapted State's custom applications with an integrated ERP software that address several civil services fields : budget, monitoring, taxes, HR, asset management 
Step 1: Project &amp; scope definition 
Step 2: Components studies &amp; roadmap 
Step 3: Roll-out 
Step 4: In-service support &amp; evolution 
 
 
 
Refine project definition 
Component by component scope definition and preliminary study",," 
                                 Public funding (NTIC promotion fund/State's fund)",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/148-ERP.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/148-ERP.jpg', 'path': 'full/0c1d334555bd1c7803478860f03732d395f94c61.jpg', 'checksum': '2f3540a389bec3c457484ad90184ad7c'}]"
4121,Extension of Sidenor plant,http://tunisia2020.com/en/projet/extension-of-sidenor-plant/,Mokhtar Group,Industry,Private,20,50,Zaghouan," 
                                 Increase production capacity to 300,000 tons per year 
Increase products range, specially rebars in compact coils and wire rod for drawing facilities 
Savings in energy consumption 
Improve metal yield ratio","  
                                 Increase production capacity to 300,000 tons per year 
Increase products range, specially rebars in compact coils and wire rod for drawing facilities 
Savings in energy consumption 
Improve metal yield ratio",," 
                                 Investment to be made by private operators in partnership with the project promoter",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/120-Sidinor.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/120-Sidinor.jpg', 'path': 'full/700df4d9a786b0b500230ac9a8e1bedb1fc18e4e.jpg', 'checksum': 'e26c4e2be98e406328d1183b34acf31f'}]"
