pid,title,link,responsible,activity,sector,cost M€,cost MDT,governorate,context,detail,impact,financialarrangment,image_urls,images
4059,Smart Grid - Réseau électrique et gaz intelligent,http://tunisia2020.com/projet/smart-grid-reseau-electrique-gaz-intelligent/,"
 Ministère des Technologies  de Communication et de l’Economie Numérique",TIC,Public-privé,600,1500," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Kairouan, Kasserine, Kébili, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Le Smart Grid apparaît comme la solution pour réduire le taux de perte sur le réseau électrique, réduire les impayés, lutter contre la fraude, atteindre l'objectif de 30% d'énergies renouvelables et fournir un service universel aux citoyens. 
Le smart Grid est un projet structurant, de par  
Le développement d’écosystème économique 
La montée en compétence sur les domaines liés 
L’image d’une Tunisie innovante, précurseur dans le continent africain sur une telle expérience, pouvant ensuite exporter son expertise vers d’autres pays 
L’idée du réseau intelligent est en réflexion depuis plusieurs années, et s’est traduite par différentes expérimentations de technologies différentes, qui n’ont pas permis de faire un choix évident"," 
                                 Le projet consiste en un premier temps, à réaliser une étude comparée des scénarii technologiques possibles, de sélectionner le scénario le plus appropriée et de le mettre en place selon un planning défini au préalable","  
                                 Rendre possible le Serice Universel aux Citoyens 
ROI estimé entre 5 et 7 ans par la réduction de la fraude, des impayés et la réduction de la perte sur le réseau électrique et de gaz 
Création de plusieurs milliers d’emplois 
Développement de l'export 
Faire de la  Tunisie un centre d'excellence sur le Smart Grid pour le continent africain, qui renforce l’image d’une Tunisie pionnière de l’innovation 
Rendre possible l'objectif de 30% d'Énergie Renouvelable","  
                                 Investissement à réaliser dans le cadre de partenariat public-privé.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/grid.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/grid.png', 'path': 'full/c19cc162407716a7166e6fe7f192bcc9d1a6ba5e.jpg', 'checksum': 'd75b28cb93e407167dce4824049e1569'}]"
3960,Unité de production d’acide technique alimentaire,http://tunisia2020.com/projet/unite-de-production-dacide-technique-alimentaire/,Groupe Chimique Tunisien,Industrie,Public,80,200,Gabès," 
                                 Le projet vise à : 
Créer un nouveau tissu industriel dans la zone industrielle de Gabès 
Permettre au Groupe Chimique Tunisien de diversifier ses produits, ses marchés et ses clients 
Donner à l’acide phosphorique brut une plus forte valeur ajoutée 
Produire des sels phosphatés techniques alimentaires 
L’étude de marché achevée démontre la fiabilité de la demande d’acide phosphorique technique et ses dérivés de sels. 
L’acide phosphorique technique est utilisé dans la fabrication  des produits alimentaires et biologiques, des médicaments, des détergents, des désinfectants industriels et le traitement des métaux et la teinture de textile…"," 
                                 Emplacement du projet: zone industrielle de Gabès 
Capacité de production: 60000 tonnes de P2O5/an 
Date de démarrage: 2019 
Composantes du projet: 
Unité intégrée pour la production de l’acide phosphorique technique alimentaire 
Station de recyclage de l’acide phosphorique  contenant des impuretés 
Matières premières: 
Acide phosphorique  
Ammoniac 
Carbonate de sodium","  
                                 Création d’un nouveau tissu industriel dans la zone industrielle de  Gabès 
Diversification et dynamisation du tissu économique dans la région 
Renforcement du secteur de phosphate et ses dérivés","  
                                 Investissement à réaliser par le Groupe Chimique Tunisien sur crédit extérieur ou dans le cadre de partenariat public privé.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d’écran-2016-11-25-à-12.10.32.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d%E2%80%99e%CC%81cran-2016-11-25-a%CC%80-12.10.32.png', 'path': 'full/a61a5ea9bf263ae07e8a035be12ca93e624015e1.jpg', 'checksum': '5091f01bd64e2b554bd9057edb0458c0'}]"
4043,Marina Bizerte: Projet de tourisme plaisancier à Bizerte,http://tunisia2020.com/projet/marina-bizerte-projet-de-tourisme-plaisancier-a-bizerte/,  Bizerte CAP 3000,Tourisme,Privé,120,300,Bizerte," 
                                 Le secteur touristique constitue l’un des piliers de l’économie tunisienne.  
Le projet est venu répondre à la demande croissante en places de ports dans le bassin méditerranéen estimée à 1,5 Millions d’anneaux en Europe pour 6 Millions de bateaux répartis sur 4 000 Marinas, contre 2 200 places en Tunisie réparties sur 5 ports. 
Les destinations phares de la plaisance en méditerranée connaissent une explosion du nombre de plaisanciers contre une pénurie d'anneaux. La conjoncture en Méditerranée aujourd'hui et la position stratégique de la région de Bizerte dans le bassin constituent alors un environnement propice au développement de la plus grande Marina en Tunisie."," 
                                 Le projet Marina Bizerte a démarré en 2009 ayant pour objectif ultime de rendre la Tunisie et la région de Bizerte une destination incontournable du tourisme plaisancier en Méditerranée. 
 
Ce projet s'inscrit dans le cadre de la stratégie de développement du tourisme plaisancier en Tunisie en offrant des services haut-de-gamme s’adressant à une clientèle à haut pouvoir d’achat.  
Marina Bizerte comprend 4 composantes  :  
 Composante touristique : la Marina 
 Composante Immobilière : résidence LE NAUTILUS 
-Composante commerciale : la croisette 
-Composante de service : le chantier naval 
 
 
 
Projet démarré en 2009","  
                                 Renforcer le secteur du tourisme plaisancier en Tunisie et la région de Bizerte 
Repositionner la rive sud de la méditerranée et précisément la Tunisie comme destination incontournable des plaisanciers 
Proposer des services haut de gamme diversifiés pour répondre à la demande d’une clientèle  à fort pouvoir d’achat 
Contourner la saisonnalité du secteur et créer un hub pour les touristes à fort pouvoir d’achat au cœur de la ville de Bizerte 
Création de  2000 emplois dont 500 postes permanents et 1500 postes saisonniers.","  
                                 Investissement à réaliser par des opérateurs privés pour les composantes immobilière, commercial et chantier Naval. Ticket de levée de fonds : 25 millions de dinars.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/marina.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/marina.png', 'path': 'full/1e3885294480c6646961f1196aad564d8f17c568.jpg', 'checksum': '98190ecedfc77ff78ea8dbd2a7bdccc3'}]"
4053,ERP - Système intégré de gestion de l’Administration,http://tunisia2020.com/projet/erp-systeme-integre-de-gestion-de-ladministration/,"
 Ministère des Technologies  de Communication et de l’Economie Numérique",TIC,Public,40,100," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Kairouan, Kasserine, Kébili, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Dans un contexte accru de recherche de performance, de fiabilité des processus, et de l’accélération des flux, L’administration doit évoluer pour mieux servir le citoyen, d’être équitable, transparente, agile et efficace. 
Les applications actuelles de l'Etat ne permettent pas de d’adresser ces objectifs de l'e-Administration (OpenGov, disponibilité de l'information en temps réel). Elles manquent d'interopérabilité, ne sont pas aux normes en vigueur et ne sont peu adaptables aux évolutions technologiques (modèle SaaS, cloud..). 
Dans ce contexte, la mise en place d’un ERP est envisagée, pour, en un premier temps, remplacer les applications du Ministère de la Finance dans une logique d’intégration, de sécurité, de performance, de fiabilité et de transparence."," 
                                 Le projet consiste à doter l’Etat d’un ERP, selon l’approche suivante: 
Etude de cadrage, 
Recueil des besoins fonctionnels 
Spécifications fonctionnelles et techniques 
Réalisation de la solution 
Tests, formations et Mise en production 
Maintenance et support 
L'objectif final étant la mise en place du système de gestion intégré cible.","  
                                 Meilleure efficacité de la gestion administrative 
Mettre le citoyen et l'entreprise au centre de l'Administration 
Disposer d'un outil de pilotage et d'aide à la décision pour la gestion des ressources  
Assurer l’interopérabilité des services de l'Etat 
Gérer en temps réel le budget (y compris lancer des simulations), les compensations, la fiscalité et les ressources humaines de l'Administration 
Couvrir les besoins fonctionnels actuels et assurer la possibilité de faire évoluer l’application à moyen terme 
Création d'emploi de 1000 emplois sur 3 ans et amélioration du chiffre d'affaire des Entreprises Tunisienne des NTIC","  
                                 Montant estimé : 100 MDT sur 5 ans 
1-Phase Étude : 20MDT 
2-Phase Mise en Œuvre : 65 MDT 
3-Phase Maintenances &amp; Support : à définir 
Fonds de promotion des TIC/Budget de l’Etat",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/erp.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/erp.png', 'path': 'full/77cf50b704fc513856ff21ed6da1896876bf8eb5.jpg', 'checksum': '316e5bc2d63728c3fed512063241b1cb'}]"
4047,SIRIUS,http://tunisia2020.com/projet/sirius/,"
 Société HOTEL EL KSAR",Immobilier,Privé,44,110,Sousse," 
                                 Le projet consiste en la réalisation d'un complexe résidentiel et commercial de haut standing dans l’enceinte de l’hôtel El KSAR à Sousse. 
Le projet est implanté à Khezama donnant d’un coté sur la mer et de l’autre coté sur la route touristique menant du centre ville de Sousse à port El Kantaoui. 
C’est un projet original, homogène et intégré qui prend en compte la diversité des activités."," 
                                 Le projet est composé d’un complexe immobilier collectif de haut standing, d’un complexe immobilier isolé, d’un complexe de commerce et d’un complexe de services. 
La surface couverte globale du projet est de 48000m² y compris sous sol aménagé. 
Le terrain est divisé en deux parties : 
Zone 1 : dédiée aux opérations d’habitat d’une superficie de 3 Ha. 
Zone 2 : dédiée aux opérations de commerce et de services d’une superficie de 7000m².","  
                                 Participation à l’évolution de la dynamique de développement de la ville de Sousse. 
La mise en valeur et la promotion d’un tourisme de haute gamme. 
La participation à la création de postes d’emploi directs et indirects.","  
                                 40% de fonds propres seront apportés par les principaux investisseurs et le reste sera réalisé par des banques et des fonds d’investissements étrangers. 
Le chiffre d’affaires prévisionnel est de 220MDT soit 88 M€",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/SIRIU.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/SIRIU.png', 'path': 'full/f2abd0f8f61dcfd17e9928830e58e29d59c215cd.jpg', 'checksum': 'f22ccee77015156a27079097aed3b3e9'}]"
4049,Développement d’une filière spatiale autour des microsatellites,http://tunisia2020.com/projet/developpement-dune-filiere-spatiale-autour-microsatellites/,"   
 Telnet Holding 
 Airbus Safran Launchers",Espace,Public-privé,48,120," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Kairouan, Kasserine, Kébili, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Le domaine spatial a longtemps été réservé aux pays maîtrisant les hautes technologies. Aujourd’hui, l’industrie spatiale et ses marchés connaissent des changements importants qui rendent ces technologies plus accessibles. Ces changements ont créé les conditions permettant à de nouveaux acteurs de développer des technologies spatiales, mais aussi de concevoir des écosystèmes complets, allant des services à l’utilisateur final jusqu’au développement de filières spatiales (universités, recherche, etc.). 
De nombreux pays et entreprises industrielles ont perçu ces évolutions et ont massivement investi dans le marché des microsatellites (jusqu’à 50 kg). Les études prévoient qu’il faudra produire et lancer plus de 4000 microsatellites au cours des dix prochaines années. 
Airbus Safran Launchers, leader de l’industrie spatiale européenne, est en mesure d’accompagner la Tunisie dans le développement de ce nouveau secteur d’activité."," 
                                 Le projet consiste à accompagner le développement d’une filière spatiale, au travers de la conception et de la réalisation d’une capacité d’assemblage, d’intégration et de test de microsatellites (AITC)*, dans le cadre d’un partenariat entre Airbus Safran Launchers, Telnet et le tissu industriel et universitaire tunisien. 
 
* AITC : Assembly, Integration and Test Center","  
                                 Doter la Tunisie d’une capacité à produire et tester ses propres microsatellites  
Développer un écosystème éducatif et industriel dans le domaine spatial orienté sur les besoins nationaux et commerciaux (notamment lié à l’imagerie spatiale) 
Répercussions socio économiques importantes (création d’emploi, attirer et conserver ses talents)","  
                                 Investissement à réaliser en partenariat public-privé.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/satellites.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/satellites.png', 'path': 'full/91c3dd995669b2de9ca95c8153161a337e7cc2ec.jpg', 'checksum': '6c0446a447f2bbbc82961e276f93a878'}]"
3958,Projet Fratelli Bay Resort,http://tunisia2020.com/projet/projet-fratelli-bay-resort/,Les Eaux Vives Immobilière,Tourisme,Privé,350,875,Bizerte," 
                                 L’écotourisme est : « une visite responsable dans des environnements naturels où les ressources et le bien-être des populations sont préservés ». Ce genre d’activité touristique doit obéir à des normes strictes telles que le respect de l’écosystème où l’activité a été implantée, l’utilisation des matériaux de construction écologiques et respectueux de l’environnement, le tri sélectif, l’utilisation d’énergies renouvelables (solaire, éolienne) et la rationalisation de l’usage des ressources naturelles, notamment l’eau.  
La taille du projet et sa zone d’implantation offrent des conditions très favorables pour son succès. 
aux insuffisances des besoins de logements."," 
                                 Le projet Fratelli Bay consiste à réaliser un village résidentiel sur un terrain de 750 ha en front de mer dans la zone d’El Houichette, dans le gouvernorat de Bizerte, totalement écologique. 
 
Le projet comprend : 
 Villas individuelles: 360 unités  
 Villas jumelées : 100 unités  
 Appartements :  1.000 unités  
 Hôtels : 3 Hôtels 4 étoiles 
 Village Medina : Souk de 7ha / commerces 
 Village résidentiel de service : 5ha 
 Golf : 9 trous 50 ha 
 Autres activités : Parc aquatique &amp; sports 
 Routes et voiries : 20km","  
                                 Impact social et environnemental  
 Création d’emplois directs et indirects 
 Sédentarisation des forces vives et effet d’entrainement considérable  
 Réintroduction des métiers d’artisans en agroalimentaire   
 Impact positif sur le tourisme local, l’agriculture et l’environnement  
 Nouvelle dynamique de développement durable dans la région","  
                                 Le projet à réaliser par des partenaires privés. L’investissement prévu est de 875MDT, pour des revenus annuels escomptés de 80MDT en année de croisière. La durée de retour sur investissement initial est de 5 ans.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d’écran-2016-11-25-à-12.06.50.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d%E2%80%99e%CC%81cran-2016-11-25-a%CC%80-12.06.50.png', 'path': 'full/5baab7bd7755f3819dc8aef837c24f71191fa007.jpg', 'checksum': '21a5964787865b32f2bd78805c4a76a9'}]"
3962,Adjudication de permis pour la recherche et l’exploitation de champs pétroliers et gaziers vacants,http://tunisia2020.com/projet/adjudication-de-permis-recherche-lexploitation-de-champs-petroliers-gaziers-vacants/,Entreprise Tunisienne d’Activités Pétrolières,Energie,"  Privé, Public-privé",0,0,," 
                                 La Tunisie poursuit, à travers l’Entreprise Tunisienne d’Activités Pétrolières, ses efforts pour renouveler ses réserves de gaz et de pétrole à travers l’incitation des entreprises pétrolières internationales à investir dans ce secteur. Le projet vise à: 
Favoriser l’exploration et la recherche d’hydrocarbures 
L’optimisation des ressources nationales d’hydrocarbures 
La fourniture de services pétroliers de qualité (laboratoires, bases de données, études géophysiques, stockage, …) 
Développer la formation continue dans le secteur"," 
                                 L’Entreprise Tunisienne d’Activités Pétrolières  cherche à promouvoir les 40 champs vacants pour l’exploration et la recherche d’hydrocarbures. 
L’Entreprise Tunisienne d’Activités Pétrolières fournit gratuitement une base de données intégrée aux entreprises souhaitant obtenir des licences de recherche ainsi que son assistance à la fourniture aux investisseurs intéressés de données concernant des champs spécifiques.","  
                                 Reconstituer les réserves nationales de pétrole et de gaz 
Approvisionner le marché local en hydrocarbures 
Garantir la durabilité des ressources en énergie fossile","  
                                 Les projets d’exploration sont à financer par les entreprises pétrolières internationales. 
Les projets de développement et d’exploitation seront réalisés dans le cadre de partenariats public-privé avec l’Entreprise Tunisienne d’Activités Pétrolières.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d’écran-2016-11-25-à-12.13.58.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d%E2%80%99e%CC%81cran-2016-11-25-a%CC%80-12.13.58.png', 'path': 'full/a4b418c56c3da7d826b6ea07a16b0b0b223bd74a.jpg', 'checksum': 'bbd22b31b8ea2e2de40a1e6a19d97220'}]"
3956,Cimenterie de la Méditerranée,http://tunisia2020.com/projet/cimenterie-de-mediterranee/,"Sté Ciment de La Méditerranée, SA",Industrie,Privé,200,500,," 
                                 Le but principal de CMG est d’être le leader dans le secteur de la production de  ciment en Tunisie. La compagnie travaillera sur la réalisation de son objectif en  faisant de l’excellence, de la compétitivité, de la durabilité et de l’accès à long"," 
                                 C’est un projet Greenfield qui créera une valeur ajoutée pour ses intrants et deviendra par la suite le choix préféré de ses clients. CMG s’engagera pour la durabilité en œuvrant pour la protection du climat, l’efficacité énergétique, l’environnement, la santé et la sécurité, la qualité des produits et des processus, la recherche  et l’innovation, les relations avec les clients et les fournisseurs, les meilleures pratiques de travail et les initiatives sociales.  
 
 
Toutes les études sont achevées.","  
                                 Création de  1200 emplois dont 300 postes directs et 900 postes indirects. 
Développement d’un projet utilisant les meilleures technologies, une consommation d’énergie maitrisée et des coûts de production réduits par rapport aux concurrents 
Doter le pays d’une grande  entreprise dans le secteur cimentier capable d’entrer en compétition avec les leaders internationaux du secteur 
Accroitre la valeur ajoutée du marché local ainsi que les exportations du ciment gris.","  
                                 Investissement à réaliser par des opérateurs privés. Les revenus annuels attendus sont de 10  millions de dinars et la durée de retour sur investissement initial est de 8 ans.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d’écran-2016-11-25-à-12.04.10.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d%E2%80%99e%CC%81cran-2016-11-25-a%CC%80-12.04.10.png', 'path': 'full/f9567f647dee9bbf89f6cb0263e21956e3372b72.jpg', 'checksum': '88c902642e7598041a5c04b5c4666fe7'}]"
3989,Création de la 1ère salle blanche en technologies de pointe pour la µ-électronique en région MENA,http://tunisia2020.com/projet/creation-de-1ere-salle-blanche-technologies-de-pointe-%c2%b5-electronique-region-mena/," 
 TELNET Innovation LABS",TIC,Privé,2,5,Ariana," 
                                 L’industrie des microtechnologies connaît un développement exponentiel les dix dernières années et présente un marché mondial de plus de 3 000 milliards d’US$. Il est important de s’embarquer dès aujourd’hui pour le futur, en se dotant d’outils efficaces et d’acquérir une culture micro technologique solide, à la base de toute création d’un produit électronique high-tech innovant. Actuellement, en Tunisie, il n’existe pas d’infrastructure dédiée à des travaux de prototypage industriel ou RDI. Ce projet inédit permettra ainsi de créer une expertise dans les domaines des semi-conducteurs en renforçant d’une part la compétitivité de notre tissu industriel et académique, et d’autre part, en valorisant au mieux l’ingénieur tunisien et son savoir-faire sur le marché européen et mondial, notamment par la collaboration nord-sud."," 
                                 Le projet consiste en la création d’une salle blanche au pôle technologique El Ghazala,  d’une surface totale de 456m², pouvant accueillir 340m² d’espaces de classe ISO5 et ISO6 selon la norme ISO14644. Ces espaces seront destinés à la fabrication et aux essais de dispositifs à base de semi-conducteurs (lithographie, chimie, exposition, gravure, observation par MEB), pour répondre à des besoins de recherche scientifique, de formation technologique et de prototypage industriel appliqué aux microsystèmes.  
 
 
Etude de construction et plan d’affaires achevés","  
                                 Création d’un nouveau domaine socio-économique à forte valeur ajoutée dans le secteur des semi-conducteurs en Tunisie pour répondre aux besoins de la région MENA 
Lancement d’une plateforme de recherche appliquée disponible à l’ensemble des laboratoires et des écoles d’ingénieurs, sur la base de plus de 100 emplois d’experts et de techniciens qualifiés créées dès le démarrage du projet 
Consolider les collaborations académiques et industrielles entre les deux rives de la Méditerranée, faisant de la Tunisie un leader régional en technologies de pointe pour la micro-électronique","  
                                 Investissement à réaliser par des opérateurs privés. Les revenus annuels attendus sont de 1,75 millions de dinars et la durée de retour sur investissement initial est de 3 ans.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d’écran-2016-11-22-à-15.00.40.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/Capture-d%E2%80%99e%CC%81cran-2016-11-22-a%CC%80-15.00.40.png', 'path': 'full/4ac071119d076ce82aacf01ffdd57c9a0da9e13c.jpg', 'checksum': 'cf4bb53a0e29c782cde0de2f410de4fd'}]"
