itemLabel,age
Redha Malek,85
Mohamed Salah Seddik,91
Ramtane Lamamra,64
Chakib Khelil,166
Slimane Hassani,73
Bouguerra Soltani,62
Ferhat Mehenni,65
Mourad Benmehidi,63
Mokdad Sifi,76
Smail Hamdani,86
Mouloud Hamrouche,73
Mohammed Bedjaoui,87
Yazid Zerhouni,79
Louisa Hanoune,62
Abdallah Djaballah,60
Abdelaziz Belkhadem,71
Abdelhamid Brahimi,80
Abdelhamid Temmar,78
Sid Ahmed Ghozali,79
Ali Benflis,72
Belaid Abdessalam,88
Liamine Zéroual,75
Ahmed Attaf,63
Ahmed Benbitour,70
Lakhdar Brahimi,82
Khalida Toumi,58
Saïd Sadi,69
Abdelmalek Benhabyles,95
Abdelaziz Ziari,71
Abdelkader Klouch,77
Abdelkader Mazouzi,63
Abdelkader Saadi,61
Abdelkader Zaïbek,93
Abdelmadjid Mezouri,67
Abdelmadjid Tebboune,71
Abdelmadjid Sidi Said,67
Ahmed Derias,83
Ahmed Fergag,86
Ahmed Taleb Ibrahimi,84
Ain-Tair Guendez,69
Ali Brahimi,59
Ali Fawzi Rebaine,61
Ali Yahia Abdennour,95
Amar Mellah,78
Amar Mokrane,75
Amar Sedaki,63
Amor Nezzar,67
Arezki Abboute,64
Atmane Mazouz,46
Aïssa Kenzaï,62
Belaïd Abrika,47
Bouabdellah Ghlamallah,82
Boualem Benhamouda,83
Brahim Boulahia,66
Cherif Rahmani,71
Daho Ould Kablia,83
Dalila Fourar,61
Djamel Ould Abbes,82
Djelloul Djilani,63
El Hadi Khaldi,60
Farid Dms Debah,40
Farida Haddouche,57
Foudil Zeghouati,67
Larbi Dahou,74
Layachi Chaïbi,71
M'Hamed Benredouane,66
M'hamed Merabti,72
Mebarek Boukaba,65
Merzoug Fellah,75
Mohamed Abdelaziz,92
Mohamed Abdelkrim Benhakkoum,71
Mohamed Benmeradi,62
Mohamed Charfi,70
Mohamed Cherif Abbas,80
Mohamed Gaya,42
Mohamed Hadi,65
Mohamed Hagni,75
Mohamed Kamel Rezgui,65
Mohamed Salah Dembri,78
Mohammed Benamar Zerhouni,68
Mohammed Touati,79
Mohand Belkacem Hacene Bahloul,77
Mohand Larbi Mezouari,81
Mohand oul Mouhoub Mouhoubi,67
Mohcine Belabbas,46
Mostefa Benmansour,72
Moussa Abdi,65
Moussa Benhamadi,63
Naima Farhi,40
Nordine Aït-Hamouda,67
Noureddine Bahbouh,67
Noureddine Moussa,60
Rachid Ali Yahia,88
Zohra Drif,82
Ahmed Djoghlaf,63
Abdelkader Benayada,34
Abderrachid Boukerzaza,61
Hachemi Djiar,70
Hamana Bougadi,65
Hamma Melakhsou,86
Kacem Kebier,72
Kada Marouf,61
Kamel Chibout,67
Karim Tabbou,43
Khaled Nezzar,79
L'alia Sahnoune,78
Lamine Khene,85
Djilali Mehri,79
Abdelkader Messahel,67
Rachid Harraoubia,70
Rachid Nekkaz,44
Salah Benharkat,64
Salim Saadi,80
Saâd Aouissi,61
Saïd Barkat,68
said bouteflika,58
Smaïl Mira,69
Tayeb Belaiz,68
Tayeb Louh,65
Tayeb Saoudi,65
Youcef Yousfi,75
Nouara Saadia,66
Sadek Hadjeres,88
Said Djinnit,62
Zuhur Wanasi,79
Abderrazak Makri,56
Abdelmalek Guenaizia,80
Abdelmadjid Menasra,53
Mahieddine Amimour,81
Soufiane Djilali,58
Nouria Benghabrit-Remaoun,64
Mohamed Sahnoun,85
Amar Saïdani,66
Abdelatif Baba Ahmed,65
Abdelaziz Khellef,72
Abdelwahab Nouri,64
Tahar Hadjar,63
Noureddine Bedoui,57
Abdelouahab Nouri,64
Mustapha Benbada,54
Rachid Marif,73
Zohra Derdouri,61
Bouaziz Ait Chebib,43
Moussa Touati,63
Noureddine Boukrouh,66
Mohamed Abbou,67
Abdeslam Bouchouareb,64
Ramdane-Youssef Tazibt,47
Mohamed Aïssa,53
Yacine Abdelhamid,94
Ahmed Zemirli,93
Akli Bellahcène,94
Houda-Imane Faraoun,37
Mohand Saïd Mazouzi,92
Brahim Merad,63
Abdelkader Ouali,64
Hocine Mazouz,61
Mohamed Saïd Chekini,79
Abderrahmane Madani Fouatih,55
Sid Ahmed Ferroukhi,49
Nasreddine Akkache,62
Abdelhamid Aberkane,
Abdelaziz Bouteflika,79
Ahmed Ouyahia,64
Abdelmalek Sellal,68
Mourad Medelci,73
Nadir Benmaati,72
Abdelkader Bengrina,54
Mohand Amokrane Cherifi,74
Kamel Bouchama,73
Abdelaziz Madoui,81
Kader Affak,47
Abdelhamid Berchiche,76
Mohamed Liassine,83
Abdelkader Marouf,76
Abdelkebir Matali,70
Zitouni Ould Salah,63
Abdelhafid Saïdi,73
Abdelkader Zoukh,68
Abdelkader Djellaoui,56
Abderrachid Guerram,75
Mohamed Hattab,52
Mourad Hidouk,61
Abdelouahab Laroussi,66
