itemLabel,age
Idriss Déby,64
Emmanuel Nadingar,65
Mahamat Djarma Khatir,73
Kalzeubet Pahimi Deubet,16
Youssouf Abassalah,52
Hissène Habré,74
Delwa Kassiré Koumakoye,67
Lol Mahamat Choua,77
Goukouni Oueddei,72
Nassour Guelendouksia Ouaido,69
Youssouf Saleh Abbas,64
Fidèle Moungar,68
Nagoum Yamassoum,62
Haroun Kabadi,67
Jean Alingué Bawoyeu,79
Abakar Tollimi,52
Acheikh ibn Oumar,65
Adoum Younousmi,54
Abdel Kader Baba-Laddé,46
Marie-Christine Koundja,59
Mahamat Ali Abdallah Nassour,56
Timane Erdimi,61
Tom Erdimi,61
Antoine Bangui,83
Djimrangar Dadnadji,62
Mahamat Ali Adoum,69
Mahamoud Adam Béchir,51
