itemLabel,age
Ayman Nour,52
Faiza Abou el-Naga,65
Magdi Allam,64
Anas el-Fiqqi,56
Mahmoud Wagdy,68
Mansour el-Essawy,79
Anwar al-Balkimi,16
Mahmoud Mohieldin,51
Sami Hafez Anan,68
Farouk Sultan,75
Mounir Fakhry Abdel Nour,71
Maged George Elias Ghattas,67
Mohammed Badie,73
Mohamed Mahsoub,52
Osama Heikal,16
Sayed Meshaal,74
Shams Badran,87
Soheir Garranah,16
Tarek Kamel,54
Yousef Wali,86
Yousry Saber Hussein El-Gamal,69
Murad Muwafi,66
Hossam Badrawi,63
Khaled Mohieddin,94
Hazem Salah Abu Ismail,55
Ali Lutfi Mahmud,81
Hamdeen Sabahi,62
Gawdat al-Malt,16
Habib el-Adly,78
Hazem Al Beblawi,79
Saad El-Katatni,64
Mohamed ElBaradei,74
Omar Hanoune,37
Jehan Sadat,83
Ahmed Nazif,64
Suzanne Mubarak,75
Khairat El-Shater,66
Ahmed Shafik,75
Abdel Moneim Aboul Fotouh,65
Abdel Fattah el-Sisi,62
Kamal Ganzouri,83
Amr Moussa,80
Ahmed El-Leithy,71
Ahmed El Maghrabi,71
Ahmed Gamal El Din,64
Aly Maher,77
Mahmoud al-Saqa,86
Mamdouh Hosny Khalil,52
Mervat Tallawy,79
Mohamed Abdul Salam Mahgoub,81
Ezzat Saad,66
George Isaac,78
Mohamed Youssef Ibrahim,69
Ahmed Mekki,75
Sedki Sobhi,61
Abdel Moneim El Shahat,46
Rafik Habib,57
Mohamed Beltagy,53
Essam el-Erian,62
Abdel Mawgoud Ahmad El Habashy,63
Adel Labib,71
Reed DeMordaunt,53
Sameh Shoukry,64
Shadi Taha,38
Zakaria Azmi,78
Adel al-Chajat,16
Maher El-Beheiry,73
Adly Mansour,71
Mohamed Fareed,69
Ibrahim Mahlab,67
Moheb Stino,16
Hosni Mubarak,88
Mohamed Hussein Tantawi,81
Essam Sharaf,64
Hesham Qandil,54
Mohamed Morsi,65
Q27492259,57
Mohamed Mansour,68
Maged A. Abdelaziz,62
Amin Iskander,64
Mahmoud Abo El-Nasr,63
Nabil Na'eem,60
