itemLabel,age
Mowaffak al-Rubaie,69
Muhammad Mahdi al-Salih,67
Nabeel Yasin,66
Nadim al-Jabiri,57
Nimrud Baito,64
Nuri Badran,73
Omer Fattah Hussain,68
Osama Tawfiq al-Tikriti,77
Qadir Obeidi,69
Qassim Daoud,67
Rafi al-Issawi,50
Salah Omar al-Ali,78
Samir Sumaidaie,72
Sherzad Hafiz,58
Shirwan al-Waili,59
Thaer Al-Darraji,34
William Warda,55
Atheel al-Nujaifi,58
Duraid Kashmoula,73
Safia Taleb Ali al-Suhail,51
Mohammad Tofiq Rahim,63
Q16045478,47
Mufid Mohammad Jawad al-Jazairi,77
Fawzi Mutlaq al-Rawi,76
Ali al-Adeeb,70
Walid Hamid Tawfiq al-Tikriti,62
Hussein al-Tahan,61
Omar al-Tikriti,46
Abdul Karim Luaibi,57
Falah Mustafa Bakir,52
Majid al-Nasrawi,50
Wijdan Michael,54
Mohammed Shia' Al Sudani,46
Amer Mohammad Rashid,77
Imad Ahmad Sayfour,61
Naji Sabri,65
Kosrat Rasul Ali,64
Hadi Al-Amiri,62
Mohammad-Ali Taskhiri,68
Hamid Majid Mousa,75
Yonadam Kanna,65
Mohsen Abdel Hamid,79
Huda Salih Mahdi Ammash,63
Samir Abd al-Aziz,79
Abd Dhiyab al-Ajili,66
Abdel Falah al-Sudani,69
Abderrahman Sadik Karim,54
Abdul Rahman Mustafa,65
Abdulsalam Abdullah,51
Adel Murad,67
Adham Barzani,54
Adnan al-Zurufi,50
Ahmad Husayn Khudayir as-Samarrai,75
Aiham Alsammarae,65
Alaa Abdessaheb al-Alwan,67
Ali Aldabbagh,61
Ali Daeem Ali,76
Ayad al-Samarrai,70
Bahnam Zaya Bulos,72
Pascal Esho Warda,55
Dana Ahmed Majid,59
Falah Hassan al-Naqib,60
Feisal al-Istrabadi,54
George Mansour,64
Georges Sada,77
Haider Al-Abadi,64
Hero Ibrahim Ahmed,68
Masrour Barzani,47
Q5940909,46
Q5960946,157
Iman al-Asadi,54
Ismail Ahmed Rajab Al Hadidi,61
Jamal Al-Karboli,51
Jasim Mohammed Jaafar,58
Kamal Qadir,58
Kamel al-Kilani,58
Khaled al-Attiyah,67
Latif Rashid,72
Maamoon Sami Rasheed al-Alwani,59
Mahmoud al-Mashhadani,68
Maysoon Al-Damluji,54
Ali Qeredaxi,67
Misha'an al-Juburi,61
Nouri al-Maliki,66
Ahmed Khalaf Dheyabi,46
Dia al-Asadi,47
Juwan Fouad Masum,46
Tariq Najm,71
Salim al-Jabouri,45
Fuad Masum,78
Vian Dakhil,45
Ammar Al-Madany,37
Khaled al-Obaidi,58
Ghazi Mashal Ajil al-Yawer,58
Muqtada al-Sadr,43
Paul Bremer,75
Basimah Yusuf Butrus,53
Khodair al-Khozaei,68
ʿAbd-al-Karīm Farḥān,94
Ayad Allawi,71
Masoud Barzani,70
Ibrahim al-Jaafari,69
Abid Mutlak al-Jubouri,16
Baqir Jabr al-Zubeidi,70
Hajim al-Hassani,62
Hazim al-Shaalan,69
Rowsch Shaways,69
Salaheddine Bahaaeddin,66
Mahmoud Othman,78
"Maurice Saatchi, Baron Saatchi",70
Adil Abdul-Mahdi,74
Jawad al-Bulani,56
Adnan Pachachi,93
Muhammad Saeed al-Sahhaf,76
Tariq al-Hashimi,74
Ahmad Radhi,52
Izzat Ibrahim al-Douri,74
Qubad Talabani,39
Nisrin Barwari,49
Nechervan Idris Barzani,50
Jalal Dabagh,77
Aref Tayfour,71
Alaa Hussein Ali aljabr,67
Azzam al-Ahmad,68
Barham Salih,56
Hoshyar Zebari,63
Nawshirwan Mustafa,72
Thamir Ghadhban,71
Hussain al-Shahristani,74
Mahmoud Hashemi Shahroudi,68
Saleh al-Mutlaq,69
Sarkis Aghajan Mamendo,54
Usama al-Nujayfi,60
Ibrahim Mohammad Bahr al-Ulloum,62
Shlomo Hillel,93
Shlomo Hillel,93
Malik Dohan al-Hassan,96
Mir Tahsin Saied Beg,83
Aziz Saleh Nuhmah,75
Aziz Saleh Nuhmah,72
Saadoun al-Dulaimi,62
Sadettin Ergeç,68
Sultan Hashim Ahmad al-Tai,72
Ammar al-Hakim,45
Ali Allawi,69
Zuhayr Talib Abd al-Sattar al-Naqib,80
Abu Bakr al-Baghdadi,45
Ahmed Abu Risha,47
Mithal al-Alusi,63
Mohammed Younis al-Ahmed al-Muwali,67
Fawzi Hariri,58
Houzan Mahmoud,43
Iyad Jamal Al-Din,55
Narmin Othman,68
Namaa Alward,63
