itemLabel,age
Abdullah Ensour,77
Abdullah II of Jordan,54
Maha Ali (Politician),43
Zaid al-Rifai,80
Nayef Hawatmeh,81
Marouf al-Bakhit,69
Abdul Ilah Khatib,63
Abu Qatada,57
Adnan Badran,81
Nader al-Dahabi,70
Samir Rifai,50
Fayez al-Tarawneh,67
Nasser Judeh,55
Mudar Badran,82
Faisal al-Fayez,64
Taher al-Masri,74
Abdelraouf al-Rawabdeh,77
Abdul Karim al-Kabariti,67
Ali Abu al-Ragheb,70
Ahmad Obeidat,78
Abdelsalam al-Majali,91
Toujan al-Faisal,68
Abdallah Al-Jazi,62
Abdullah Ayasrah,64
Samir Habashneh,65
Timoor Daghistani,68
Khaled Toukan,62
Salim Falahat,62
Saad Hayel Srour,69
Ina'am Al-Mufti,87
Atef Tarawneh,62
Amjad Adaileh,54
Awad Khleifat,71
Ayman Hazza' al-Majali,67
Barjas al-Hadid,80
Farouq Qasrawi,74
Hani al-Mulki,65
Tawfiq Kreishan,69
Marwan al-Muasher,60
