itemLabel,age
Ahmed Al-Fahad Al-Ahmed Al-Sabah,53
Massouma al-Mubarak,69
Salem Al-Ali A-Sabah,90
Abdulaziz AlـShayji,49
Abdullah AlـBarghash,54
Ali Al-Daqbaashi,51
Ali Al-Hajri,54
Ali Al-Omair,58
Sabah Al-Ahmad Al-Jaber Al-Sabah,87
Jaber Al-Mubarak Al-Hamad Al-Sabah,74
Jamaan Al-Harbash,46
Hussein Quwaian Al-Mutairi,48
Safa Al Hashem,52
Salman Sabah Al-Salem Al-Homoud Al-Sabah,56
Ali Hussain Al-Awadhi,42
Fahad Al-Azmi,62
Hussein Nasser Al-Huraiti,54
Jabir Al-Azmi,46
Khaled AlـSultan Bin Essa,76
Marzouq AlـHubaini Al-Azmi,64
Mikhled Al-Azmi,55
Mohammed Abdullah Al-Ajmi,45
Mohammed Al-Abduljader,52
Mohammed Al-Kandari,45
Mohammed Al-Rasheedi,52
Mohammed Faleh Al-Ajmi,61
Mubarak Al-Mutairi,57
Nasser Al-Duwailah,60
Rija Hujailan Al-Mutairi,75
Saad AlـKhanfour Al-Rasheedi,51
Sadoon Al-Otaibi,57
