itemLabel,age
Elias Murr,54
Joseph Aboukhater,111
Karim Pakradouni,72
Michel Murr,84
Leila Shahid,67
Raymond Audi,84
Talal Arslan,51
Etienne Saqr,79
Gebran Bassil,46
Abbas Hachem,62
Abdallah Hanna,60
Abdallah Victor Farhat,52
Abdul Rahim Mourad,74
Abdel Latif El Zein,84
Adnan Addoum,75
Adnan Kassar,86
Hassan Nasrallah,56
Émile Lahoud,80
Muhammad Baydoun,64
Saad Hariri,46
Fouad Siniora,73
Najib Mikati,61
Mahmoud Hammoud,81
Amine Gemayel,74
Yacoub Sarraf,55
Joseph Sarkis,67
Hassan Sabeh,69
Ali Qanso,68
Michel Aoun,81
Walid Jumblatt,67
Bahia Hariri,64
Ghazi Aridi,62
Issam Abu Jamra,79
Al Sayed Musa al-Sadr,88
Al Sayed Musa al-Sadr,88
Nabih Berri,78
Naim Qassem,63
Michel Pharaon,57
Subhi al-Tufayli,68
Samir Geagea,64
Carlos Eddé,60
Issam Fares,79
Afif Ayyub,63
Ahmad Karami,72
Ali Ahmad Bazzi,58
Hanna Atik,57
Hassan Saab,94
Alaeddine Terro,63
Alain Aoun,44
Ali Hussein Abdallah,65
Antoine Andraos,66
Antoine Haddad,62
Assaad Hardan,65
Atef Majdalani,66
Ayoub Hmayed,62
Bahige Tabbara,87
Yassine Jaber,65
Solange Gemayel,67
Samy Gemayel,36
Nadim Gemayel,34
Boutros Khawand,76
Nawar al-Sahili,49
Elias Abou Assi,66
Elias Saba,87
Elie Kayrouz,57
Fadi Moghaizel,53
Fadi Frem,63
Faisal Karami,45
Fayçal Sayegh,55
Gaby Layoun,52
Georges Adwan,69
Michel Suleiman,68
Antoine Sleiman,60
Raymond Baaklini,73
Salim Bey Karam,70
Samir Mouqbel,77
Walid Daouk,58
Nicolas Fattouche,73
Nicolas Sehnaoui,49
Okab Sakr,41
Oussama Saad,62
Robert Fadel,46
Rami Ollaik,44
Sami Haddad,66
Serge Torsarkissian,51
Tammam Salam,71
Trad Hamadeh,66
Ziyad Baroud,46
Wael Abou Faour,44
Rifaat Eid,16
Georges Corm,76
Georges Kassarji,78
Ghazi Youssef,62
Gebran Areiji,65
Hagop Kassarjian,70
Hikmat Dib,60
Hussein Hajj Hassan,56
Hussein el-Husseini,79
Jamal Takch,59
Kassem Abdel-Aziz,65
Leila Al Solh,70
Mahmoud Abdel Khalek,78
Marwan Fares,69
Michel Eddé,88
Michel Moussa,67
Michel Samaha,68
Michel Elefteriades,46
Mohammad Hajjar,62
Mohammad Al Hajj Hassan,40
Mohammad Kabbara,72
Mohammad Safadi,72
Naamatallah Abi-Nasr,80
Nabil de Freige,61
Najah Wakim,70
Kassem Hachem,56
Ghassan Moukheiber,58
Alice Shabtini,70
Rujla Ghani,68
