itemLabel,age
Abdurrahim El-Keib,66
Ali Zeidan,66
Abdulrahman Asswehly,70
Fayez al-Sarraj,56
Q22684295,37
Ali al-Sallabi,53
Isa Tuwaijir,59
Mansour Mohamed El-Kikhia,80
Yousef Mangoush,66
Giuma Ahmed Atigha,66
Nuri Abu Sahmain,16
Abdullah al-Thani,62
Hasan Zaglam,71
Aguila Salah Issa,72
Omar al-Hasi,67
Abu Bakr Baira,39
Baghdadi Mahmudi,71
Muhammad az-Zanati,72
Ehtuish Ehtuish,63
Saif al-Islam al-Gaddafi,44
Ayesha Gaddafi,40
Mustafa Abdul Jalil,64
Mahmoud Jibril,64
Abdul Ati al-Obeidi,77
Abdul Majid al-Qa′ud,73
Abdul Razzaq as-Sawsa,16
Abdessalam Jalloud,72
Abdul Hafiz Ghoga,16
Abdullah Naker,44
Abdulrahman Ben Yezza,16
Abuzed Omar Dorda,72
Moussa Koussa,67
Hannibal Muammar Gaddafi,41
Muhammad Gaddafi,46
Mustafa Rugibani,75
Farhat Bengdara,51
Mohamed Abu al-Qasim al-Zwai,64
Salwa El-Deghali,16
Moussa Ibrahim,42
Fathi Baja,16
Mohammed Ali Salim,81
Muhammad Ahmad al-Mangoush,16
Jadallah Azzuz at-Talhi,16
Ali Tarhouni,65
Imbarek Shamekh,64
Muhammad az-Zaruq Rajab,76
Miftah Muhammed K'eba,74
Mohammed El Senussi,54
Ali Ashour,56
Fathi Terbil,16
Ali Abd-al-Aziz al-Isawi,50
Anwar Fituri,52
Awad al-Baraasi,50
Fawzi Abdel A'al,45
Mohamed Al-Muntasir,56
Abd-al-Hafid Mahmud al-Zulaytini,78
Ahmad Bishti,89
Hamza Abu Faris,70
