itemLabel,age
Hmeida Ould Ahmed Taleb,48
Mohamed Ould El Abed,53
Ahamdy Ould Hamady,51
Zeine Ould Zeidane,50
Mohamed Ould Abdel Aziz,60
Sidi Ould Cheikh Abdallahi,78
Maaouya Ould Sid'Ahmed Taya,75
Cheikh El Avia Ould Mohamed Khouna,60
Ely Ould Mohamed Vall,63
Mohamed Lemine Ould Guig,57
Mohamed Mahmoud Ould Louly,73
Mohamed Khouna Ould Haidalla,76
Sghair Ould M'Bareck,62
Yahya Ould Ahmed El Waghef,56
Abdallah Ould Souleymane Ould Cheikh Sidiya,55
Abdallahi Hassen Ben Hmeida,62
Adama Sy,71
Ahmed Ould Mohamed emine,47
Ahmed Ould Daddah,74
Ba Housseinou Hamadi,59
Brahim Ould M’Barreck Ould Mohamed El Moctar,54
Dahane Ahmed Mahmoud,64
Ghdafna Ould Eyih,51
Mohamed Ould Boilil,65
Sidi Ould Tah,52
Thiam Diombar,57
Yahya Ould Hademine,63
Messaoud Ould Boulkheir,73
Mohamed Mahmoud Ould Mohamed Lemine,64
Bamba Ould Daramane,46
El Kory Ould Abdel Mola,66
Mohamed Ould Tolba,54
Mohamed Ould Maaouya,63
Tijani Ould Kerim,65
Mohamed Abdellahi Ould Oudaa,49
Ahmed Ould Teguedi,62
Mohamed Jemil Ould Mansour,49
Malouma,56
Biram Dah Abeid,51
Mohamed Lemine Ch'bih Ould Cheikh Melainine,65
