itemLabel,age
Taieb Fassi Fihri,58
Karim Ghellab,50
Mohammed Achaari,65
Abdelali Abdelmoula,68
Salaheddine Mezouar,63
Nawal El Moutawakel,54
Abbas El Fassi,76
Abdelilah Benkirane,62
Driss Jettou,71
Ahmed Laraki,85
Ahmed Osman,86
Abderrahmane Youssoufi,92
Mohammed Ziane,73
Hassan Abouyoub,64
Mohand Laenser,74
Mohamed Ouzzine,47
Nizar Lbraka,52
Jamal Aghmani,58
Ahmed Raïssouni,63
Khalid Naciri,70
El Hossein El Ouardi,62
Yahya Yahya,49
Mohamed Hassad,64
Taieb Cherkaoui,67
Mohammed Karim Lamrani,97
Mohamed El Ouafa,68
Aziz Akhenouch,55
Lahcen Haddad,56
Saad-Eddine El Othmani,60
Abdelaziz Benjelloun,82
Aziz Rabbah,54
Abdelhadi Alami Srifi,75
Abdelhadi Skalli,101
Hamid Chabat,63
Abdelkader Aamara,54
Abdelkebir M’Daghri Alaoui,74
Abdellah Azmani,69
Abdellah el-Kadiri,79
Abdellatif Ghissassi,79
Abdellatif Maazouz,62
Abdelouahed Souhail,70
Abdeladim El Guerrouj,44
Abdelwahed Radi,81
Abderrahim Qanir,58
Abdeslam Al Mesbahi,62
Abdeslam Ahizoune,61
Abdeslam Baraka,61
Hamza Kettani,74
Hassan Derham,62
Hassan Zemmouri,86
Khalid Alioua,67
Bassima Hakkaoui,56
Serge Berdugo,78
Brahim Akhiat,75
Driss Alaoui M’Daghri,72
Driss Dahak,77
Driss Lachgar,62
Idriss Azami Al Idrissi,50
El Ghailani Dlimi,64
Lahbib Choubani,53
Mustafa Ramid,57
Fathallah Oualalou,74
Faïçal El Khatib,77
Fouad Ali El Himma,54
Fouad Douiri,56
Mohamed Benaissa,79
Habib El Malki,70
Abdessamad Qaiouh,50
Mohammed II of Morocco,322
Adil Douiri,53
Ahmed Adghirni,69
Ahmed Akhchichine,62
Ahmed Alami,77
Ahmed El Midaoui,68
Ahmed Hilal,64
Ahmed Lakhrif,63
Ahmed Chami,55
Ahmed Taoufiq Hejira,57
Ali Belhaj,55
Amina Benkhadra,62
Amine Lahcen Demnati,67
André Azoulay,75
Anis Birou,54
Asma Chaabi,54
Aziza Bennani,73
Khalihenna Ould Errachid,65
Lahcen Daoudi,69
Latifa Akherbach,56
Latifa Labida,63
M'hamed Boucetta,91
M'hamed Douiri,90
Mhamed El Khalifa,77
Maâti Benkaddour,69
Mohamed Abbou,57
Mohamed Abied,75
Mohamed Amine Sbihi,62
Mohamed Aujjar,57
Mohamed Bensaid Aït Idder,91
Mohamed Berrada,72
Mohamed Bousaid,55
Mohamed Cherkaoui,95
Mohamed Cheikh Biadillah,67
Mohamed El Yazghi,77
Mohamed Hama,69
Mohamed Jaouhari,70
Mohamed Kabbaj,70
Charki Draiss,61
Youssef Amrani,63
Youssef Tazi,56
Abdelkader Lecheheb,62
Abdelkrim Motii,81
Taieb Ghafes,76
Yassine Mansouri,54
Abouzaid El Mokrie El Idrissi,56
Nouzha Skalli,66
Omar Bahraoui,68
Omar Hejira,49
Omar Kabbaj,74
Rachid Lamdouar,52
Rachid Talbi Alami,58
Saïd Oulbacha,57
Tariq Kabbage,68
Touriya Jabrane,64
Yasmina Baddou,54
Yassir Znagui,46
Mohamed Moâtassim,60
Nabil Benabdallah,57
Mohamed Najib Boulif,52
Mohamed Rachid Mouline,98
Rochdi Chraibi,54
Mohamed Sassi,64
Mohamed Saad Alami,68
Saad Hassar,63
Mohamed Tahiri,58
Mohammed Ameur,57
Mohammed Sajid,68
Mohamed Gahs,53
Moncef Belkhayat,46
Ismaïl Alaoui,76
Mustapha El Khalfi,43
Mustapha Mechiche Alami,84
Mustapha Mansouri,63
M’fadel Lahlou,77
Nabila Mounib,56
Najib Ouazzani,61
Najima Rhozali,56
Noureddine Benomar Alami,68
Noureddine Lazrek,59
Nezha Chekrouni,61
M'hamed Dryef,68
Hammouda El Caïd,74
El Houcine Kissami,51
Omar Zniber,60
Mbarka Bouaida,41
Abbès Jirari,79
Najib Zerouali Ouariti,66
Abdeslam Seddiki,65
Hakima El Haite,53
Abdelhak Amghar,51
Fouad El Omari,42
Rachid Belmokhtar,74
Salima Belhaj,38
Audrey Azoulay,44
Taha Balafrej,66
