itemLabel,age
Muhammed Al-Jasser,61
Faisal bin Bandar Al Saud,71
Abdul Aziz bin Fahd,43
Abdul Ilah bin Abdulaziz Al Saud,77
Abdulaziz bin Salman,56
Abdulaziz bin Majid,56
Faisal Al-Hegelan,87
Nizar Madani,75
Jamil Ibrahim Hejailan,91
Mohammad Bin Fahd,66
Ali Al-Naimi,81
Mishaal bin Abdulaziz Al Saud,90
Abdulaziz bin Mohammed bin Ayyaf Al Muqrin,58
Mutaib bin Abdulaziz Al Saud,85
Abdullah ibn Muhammad Al ash-Sheikh,68
Abdul-Rahman bin Abdul-Aziz Al Saud,85
Faisal bin Khalid bin Abdulaziz Al Saud,62
Salman bin Abdulaziz Al Saud,81
Khalid bin Faisal Al Saud,76
Sultan bin Salman Al Saud,60
Ahmed Zaki Yamani,86
Ahmed bin Abdulaziz Al Saud,74
Thoraya Obaid,16
Muhammad bin Nayef,57
Norah Al Faiz,60
Bandar bin Sultan,67
Adel al-Jubeir,54
Talal bin Abdulaziz Al Saud,85
Khalid bin Sultan,67
Muqrin bin Abdul-Aziz Al Saud,71
Turki bin Abdullah Al Saud,45
Khalid bin Bandar Al Saud,65
Fahd bin Sultan,66
Faisal bin Abdullah,38
Faisal bin Salman bin Abdulaziz Al Saud,46
Mamdouh bin Abdulaziz,76
Mishaal bin Majid,59
Mishari bin Saud bin Abdulaziz Al Saud,62
Mohammad bin Salman Al Saud,31
Mohammed bin Faisal Al Saud,79
Muhammad bin Saad,72
Salman bin Sultan,40
Saud bin Abdul Muhsin Al Saud,69
Sultan bin Fahd,65
Fahd bin Abdullah bin Mohammed Al Saud,75
Iyad bin Amin Madani,70
Khaled al-Tuwaijri,56
Q12222475,75
Abdulaziz bin Abdullah,53
Majed Bin Abdullah Al Qasabi,57
Mishaal bin Saud,69
Mishaal bin Abdullah Al Saud,45
Mansour bin Mutaib,64
Q22684183,56
Nawaf bin Faisal,38
Saud bin Fahd Al Saud,66
Ibrahim Abdulaziz Al-Assaf,67
Prince Abdulaziz bin Salman bin Muhammad Al Saud,57
Waleed A. Elkhereiji,58
