itemLabel,age
Abdilwali Hersi Abdille Indhaguran,47
Abdurahman Abdullahi,62
Abdirahman Mohamed Abdullahi,61
Abdirizak Ibrahim Mohamed Attash,47
Abdulrahim Abby Farah,97
Aden Ibrahim Aw Hirsi,48
Ahmed Abdisalam Adan,57
Ahmed Sheikh Ali,79
Asha Ahmed Abdalla,58
Edna Adan Ismail,79
Hassan Haji Mohamoud,70
Hussein Ali Shido,90
Mohamed Ali Ameriko,54
Mohamed Amin Osman,93
Mohammed Omar Osman,76
Sharif Hassan Sheikh Aden,62
Mohamed Abdullahi Omaar,54
Abdiweli Sheikh Ahmed,57
Ahmed Mohamed Gurase,59
Sharif Sheikh Ahmed,52
Asha Haji Elmi,54
Abdi Hasan Awale Qeybdiid,68
Abdiqasim Salad Hassan,75
Hassan Sheikh Mohamud,61
Muhammad Hawadle Madar,16
Umar Arteh Ghalib,86
Dahir Riyale Kahin,64
Ali Mohammed Ghedi,64
Ahmed Mahamoud Silanyo,80
Hassan Abshir Farah,71
Mohammed Said Hersi Morgan,16
Mohamed Osman Jawari,71
Jibrell Ali Salad,77
Ali Mahdi Muhammad,77
Osman Jama Ali,75
Mohamed Warsame Ali,79
Fowsiyo Yussuf Haji Aadan,64
Mohamud Muse Hersi,16
Salim Aliyow Ibrow,16
Hussein Farrah Aidid,54
Muhammad Abdi Yusuf,75
Ali Khalif Galaydh,75
Hussein Kulmiye Afrah,96
Jama Ali Jama,16
Mohamed Nur,60
Abdiweli Mohamed Ali,51
Adan Mohamed Nuur Madobe,59
Mohamoud Mohamed Guled,62
Abdirahman Jama Barre,79
Abdullahi Ahmed Addow,80
Ahmed Yusuf Yasin,59
Faysal Ali Warabe,68
Abdi Mohamed Ulusso,58
Omar Abdirashid Ali Sharmarke,56
Abdirahman Duale Beyle,61
Anisa Hajimumin,38
Khadijo Mohamed Diriye,67
