itemLabel,age
Mahmoud al-Abrash,72
Abdullah al-Ahmar,80
Faisal Mekdad,62
Fuad Issa al-Jouni,66
Mahmoud al-Ayyubi,84
Sabah Fakhri,83
Kamal al-Labwani,59
Adnan Omran,82
Walid Muallem,75
Salih Muslim Muhammad,65
Fahd Jassem al-Freij,66
Randa Kassis,46
Jassem Alwan,88
Mohammad al-Shaar,66
Mohammad Jihad al-Laham,62
Qadri Jamil,64
Ali Haidar,54
Ali Aslan,84
Hafez Makhlouf,45
Haitham al-Maleh,85
Burhan Ghalioun,71
Jamal Karsli,60
Riad Seif,70
Abdul Halim Khaddam,84
Abdo Husameddin,62
Abdul Rauf al-Kasm,84
Abdulbaset Sieda,60
Muhammad Naji al-Otari,72
Adel Safar,63
Riyad Farid Hijab,50
Ali Habib Mahmud,77
Muhammad Mustafa Mero,75
Mustafa Tlass,84
Maher al-Assad,49
Rifaat al-Assad,79
Naser Khader,53
Najah al-Attar,83
Farouk al-Sharaa,78
Bouthaina Shaaban,63
Omar Ibrahim Ghalawanji,62
Naser al-Hariri,61
Ghassan Hitto,53
Abu Mohammad al-Golani,35
Yaarub Bader,57
George Sabra,69
Moaz al-Khatib,56
Bashar al-Assad,51
Omran al-Zoubi,57
Ahmad Jarba,47
Nur al-Din Kahala,106
Siwar al Assad,41
Hilal Hilal,50
Hassan al-Nouri,56
Maher Hajjar,45
Q17121841,54
Hadi al-Bahra,57
Lubanah Mshaweh,61
Khaled Khoja,51
Hadiya Khalaf Abbas,58
