itemLabel,age
Fouad Mebazaa,83
Zine El Abidine Ben Ali,80
Leïla Ben Ali,60
Ali Laarayedh,61
Abdelwahab Abdallah,76
Beji Caid el Sebsi,90
Rashid al-Ghannushi,75
Ahmed Ounaies,80
Mohamed Ghannouchi,75
Moufida Tlatli,69
Lazhar Karoui Chebbi,89
Rachid Sfar,83
Noureddine Bhiri,58
Mansour Moalla,86
Mouldi Kefi,70
Kamel Morjane,68
Hédi Baccouche,86
Hamed Karoui,89
Mustapha Ben Jafar,76
Chedli Klibi,91
Abdelaziz Kotti,46
Tahar Belkhodja,85
Taïeb Baccouche,78
Hamma Hammami,64
Saïd Ben Moustapha,78
Abbès Mohsen,71
Abdallah Triki,63
Abdallah Kallel,73
Abdelaziz Mougou,67
Abdelbacet Becheikh,75
Abdelbaki Hermassi,79
Amel Ghouil,50
Amer Larayedh,51
Bibya Chihi,64
Hédi M'henni,74
Béchir Zaâfouri,53
Bechir Tekkari,64
Chedly Ayari,83
Chédli Neffati,70
Driss Guiga,92
Emna Menif,49
Faouzia Charfi,16
Ferjani Doghmane,61
Habib Ammar,80
Habib Ben Yahia,78
Habib M'barek,65
Habib Essid,67
Habiba Zehi Ben Romdhane,66
Hachmi Bibi,81
Halima Kanni,52
Hassen Annabi,66
Hatem Ben Salem,60
Hela Hammi,52
Hicham Hosni,51
Houcine Dimassi,68
Hédi Ben Abbès,55
Hédi Djilani,68
Ibrahim Kassas,51
Issam Chebbi,59
Jamel Eddine Gharbi,52
Abdelfattah Mourou,68
Abdelhakim Bouraoui,62
Abdelhamid Slama,75
Abdelhamid Triki,68
Abdelkarim Harouni,56
Abdelkarim Zbidi,66
Abdellatif Abid,69
Abdellatif Mekki,54
Abdelwaheb Jemal,70
Abdelwaheb Maatar,64
Abderrahim Zouari,72
Abderrahman Ladgham,69
Abderrahmane Tlili,73
Abderraouf El Basti,69
Abderrazak Cheraït,79
Abderraouf Ayadi,66
Abderrazek Khallouli,46
Abderrazak Zouari,66
Abdessalem Mansour,67
Adel Ben Hassen,52
Adel Fekih,44
Afif Chelbi,63
Ahmed Adhoum,62
Ahmed Ben Salah,90
Ahmed Friaa,67
Ahmed Inoubli,58
Ahmed Eyadh Ouederni,63
Ahmed Mestiri,91
Ahmed Najib Chebbi,72
Ahmed Smaoui,77
Ali Bennor,63
Ali Chaouch,68
Ali Haouiji,35
Alifa Farouk,70
Kamel Omrane,65
Karim Bouebdelli,41
Karima Souid,45
Khalil Zaouia,55
Khemaies Jhinaoui,62
Khemaïs Ksila,60
Lamia Chafei Seghaier,48
Lamine Moulahi,55
Larbi Ben Salah Abid,63
Laroussi Mizouri,66
Latifa Habachi,44
Lazhar Bououni,68
Lilia Labidi,67
Lobna Jribi,43
Mabrouka Mbarek,36
Mahmoud Baroudi,35
Maya Jribi,56
Meherzia Labidi Maïza,53
Mohamed Abbou,50
Mohamed Agrebi,55
Mohamed Ali Ganzoui,72
Mohamed Ali Halouani,69
Mohamed Aloulou,75
Mohamed Belhaj Amor,82
Mohamed Ben Salem,63
Mohamed Bouchiha,68
Mohamed Béji Ben Mami,66
