itemLabel,age
Abdrabbuh Mansour Hadi,71
Mohammed Basindawa,81
Abu Bakr al-Qirbi,74
Jalal al-Roweichan,53
Q20418694,51
Q20422933,78
Rashida al-Qaili,51
Nayif Salih Salim AL-QAYSI,33
Abdel Malak al-Mekhlafi,57
Abdel Malak al-Mekhlafi,57
Q12240556,66
Tawakel Karman,37
Tarek Al-Wazir,45
Abdul Qadir Bajamal,70
Ali Muhammad Mujawar,63
Sadiq al-Ahmar,60
Ali Abdullah Saleh,74
Amat Al Alim Alsoswa,58
Ali Nasir Muhammad,77
Haidar Abu Bakr al-Attas,77
Hamoud Muhammed Ou'bad,16
Ahmed A AL-Samawi,70
Ali Salim al-Beidh,77
Hasan al-Lawzi,64
Mohsin Ahmad al-Aini,84
Ahmed Saleh,43
Abd Al-Rahman Ali Al-Jifri,73
Yasin Said Numan,69
Abdul Majeed al-Zindani,74
Abdel-Malik Mansour,64
Abdul-Wali al-Shameri,60
AbdulWahab Raweh,64
Abdul Latif Dayfallah,86
Ahmed Mohammed,56
Hamid al-Ahmar,49
Khalid Bahah,51
Mutaher al-Masri,63
Najeeb Qahtan Al-Sha'abi,63
Nasr Taha Mustafa,54
Yahya Hussain Al-Aarashi,69
Q12178826,85
Huda al-Baan,56
Q12251666,74
Hassan Muhammad Makki,83
Q16119612,61
Q16120268,58
Q16124096,48
Q16125181,69
Yahya Ali al-Raie,63
Yahya Al-Mutawakel,57
Mahmoud al-Subaihi,60
