Case No.,Action Plan,Country,Commitment Title,Full Text,Lead Institution,Supporting Institutions,Anti-corruption,Conflicts of Interest ,Asset disclosure,Audits & Controls,Whistleblower Protections,Budget Transparency,Citizen Budgets,Participatory Budgeting,E-petitions,Social Audits,Public Participation,Public Procurement,Access to Information,Records Management,Open Data,Elections & Political Finance,Law Enforcement & Justice,"
Public Service Delivery",E-government,Capacity Building,Legislation & Regulation,Private sector,Legislature,Sub-national governance,Judiciary,Media & Telecommunications,Education,Health & Nutrition,Citizenship & Immigration,Welfare & Social Security,Water & Sanitation,Infrastructure,Public Safety,Defense,Natural Resources,Aid,Nonprofits,Labor,Science & Technology,Gender & Sexuality,Human Rights,OGP,Sum,Compound,Cluster,PoC Specified?,Specificity,_Specificity,GC-PubInt,GC-PubRes,GC-PubSvc,GC-CorpAcc,GC-SafComm,Value - Info,Value - Part,Value - Acc,Value - Tech,_Relevant,NewvPre-exist,_New v Pre-existing,Potential Impact,_Pot Impact Coded,Timebound?,Start,End,_Before July 2013,Action,Plan,Actual Completion,_Actual Completion,Projected Completion,_Proj Completion,On time,On Schedule,Starred,New x Starred,Starred x Specificity,Next Y/N,Next steps
,2,Brazil,1.1 Probity Defense and Asset Recovery,"to formulate actions with the aim of enhancing probity defense and asset recovery, thus making the Office of the Attorney General reference in asset and probity defense, especially in actions aiming at corruption combat, by the year 2016. The commitment, which shall be achieved through a combined effort of all units of the Office of the Attorney General, provides for the increase of procedures for preliminary investigation and information gathering, as well as of the number of attorneys assigned to deal exclusively with cases related to corruption combat and public assets recovery.",Office of the Attorney General, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Brazil,1.2 Implementation of the ODP.nano,"To implement the ODP.nano in state governments. The commitment aims at disseminating to states the Federal Government operating model of the Public Expenditure Observatory (ODP). To achieve this commitment, scientific methods for the crossing of data from several sources shall be applied, thus ensuring the identification of inadequate use of state public resources. The development of the ODP.nano within the states shall enhance the internal control and support state management of public resources.",Office of the Comptroller General, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Brazil,1.3 Strengthening of the Office of the Comptroller General (CGU),"to develop a set of organizational, people managing and infrastructure actions with the aim of enhancing the Office of the Comptroller General’s institutional capacity. The proper training of public officials, the construction and reform of agency’s headquarters and the endorsement of initiatives such as the Program for Strengthening of Prevention and Combat to Corruption in the Brazilian Public Management (PROPREVINE) in partnership with the Inter-American Development Bank shall increase the reach and effectiveness of the results of CGU’s actions.",Office of the Comptroller General, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Brazil,1.4 Online Accountability of Resources for Education within the National Fund for Education Development,"to develop an online application for the Accountability Managing System – Online Accounts with the aim of disclosing information on the transfer of resources of the National Fund for Education Development for the implementation of public policies through educational programs and projects. The interface shall provide for the exchange of data between systems, for the automation of accounts analysis, for the standardization of rules and procedures, thus rationalizing and integrating the stages of accountability. Furthermore, the application shall disclosure to the society reports and graphics on the execution of resources.",Ministry of Education, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Brazil,1.5 Generation of knowledge and capacity-building of managers and public resources operator’s partners and of councilors for social control,"to enhance capacity-building actions for corporate extension of the National Fund for Education Development (FNDE). This commitment aims at fostering the continuous performance improvement of processes for managing and executing public resources for education, as well as at strengthening its social control, thus enhancing the efficiency, effectiveness and transparency of educational policies. The Institute “Train for School”, unit responsible for the development and strengthening of the educational actions of the FNDE, especially corporative actions and the ones related to the areas of management and financing of educational policies, shall be established.",Ministry of Education, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Brazil,1.6 National Program for strengthening School Councils,"to carry on capacity-building courses, in both in-site and distance learning modalities, with the aim of training education professionals to serve in state and municipal education secretariats. These professionals shall disseminate the activities of the National Program for Strengthening School Councils in their respective education system, as well as train school councilors in effective exercise, through a mentoring network.  The program actions are aimed at assisting education systems in the establishment and strengthening of school councils, so as to enhance the participation of school and local communities in school administrative, financial and pedagogical management and the development of a culture of monitoring and evaluating school activities and policies, thus ensuring high quality education.",Ministry of Education, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Brazil,"1.7 Development of a unified and interactive information panel on the implementation of the Water for All Program, which can be publicly accessed through the internet","to organize and disclosure, through an unified information panel, data on the execution of actions of the “Water for All” Program to its on executors and to the general public. This tool shall ensure the regular monitoring of actions, the development of reports for decision-making, the provision of information to the press office of the Ministry of National Integration, and transparency and updated accountability to the public managers, the authorities and the society.",Ministry of National Integration, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Brazil,1.8 Digital inclusion of Health Councils,"to develop the Digital Inclusion Program (PID) in all state, district and municipal Health Councils, as a means of contributing to the enhancement of social control in the Unique Health System (SUS).",Ministry of Health, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Brazil,1.9 Development of tools for increasing transparency and enhancing Land Governance,"to develop the Land Management System (SIGEF) with the aim of integrating information related to the identification, certification and destination of public lands, as well as data on the land occupancy in the country, and on the different government levels and agencies responsible for managing the territory, thus adding to the effective development of a Land Governance Policy. This commitment also aims at ensuring public access to land information and at enhancing the effectiveness of governmental expenditures with the execution of georeferencing on public lands.",Ministry of Agrarian Development, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Brazil,1.10 Development of a methodology for Social Participation on the monitoring of the Pluriannual Plan (PPA) and on the formulation of the Federal Public Budget,"to promote, in partnership with the Ministry of Planning, Budget and Management, participation, training and dialogue with the civil society for the monitoring of the public planning cycle. The commitment aims at developing a methodology for the monitoring of transversal programs by the civil society and at fostering the debate for the reception of proposals and suggestions for improving the aforementioned cycle. Furthermore, the initiative aims at increasing the connection between social participation and government strategic decisions, thus ensuring openness, transparency and responsiveness to the process of planning public policies. The commitment shall also ensure the beginning of the participatory monitoring of the Brazilian pluriannual plan (PPA), the inclusion of the society assessments in the Federal Government Integrated Planning and Budget System (SIOP), and the improvement of virtual consultation for receiving proposals from the civil society for the formulation of the Budget Guidelines Law (LDO).",General Secretariat of the Presidency of the Republic, ,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
