لإسم,مجال النشاط,الولاية,الهاتف,الفاكس
مجمع الدراسات والبحوث في أمراض العمود الفقري,علمية,تونس,0,0
مجموعة إستكشاف التونسية أعماق البحار بالمرسى,علمية,تونس,71743055,71743055
مركز المتوسط للدراسات والإعلام,علمية,تونس,71242963,0
"مركز المرأة العربية للتدريب والبحوث ""كوثر""",علمية,تونس,71773511,71773611
مركز الدراسات والأنشطة العمالية,علمية,تونس,,
مركز ابن رشد للدراسات والبحوث,علمية,تونس,,
معهد التدقيق الإجتماعي بتونس,علمية,تونس,,
منتدى الجامعيين التونسيين,علمية,تونس,71729197,71729264
المجلس الوطني لمتصرفي قطاع الصحة,علمية,تونس,,
المجلس الوطني لفنيي صناعة الأسنان,علمية,تونس,0,0
المجمع التونسي لدراسات وبحوث العمود الفقري والنخاع الشوكي,علمية,تونس,0,0
المرصد الدولي للتحولات السياسية والحوكمة,علمية,تونس,0,0
المرصد الوطني للرقي بتونس,علمية,تونس,,
المركز التونسي للدراسات ودعم اللامركزية والتنمية,علمية,تونس,,
المنظمة التونسية للإصلاح الجزائي والأمني,علمية,تونس,,
المنظمة الوطنية للمختصين في التغذية,علمية,تونس,71346345,71346345
الجمعبة التونسية لدراسة وعلاج الجروح,علمية,تونس,,
الجمعية المتوسطية للدراسات والتنمية الإجتماعية,علمية,تونس,,
الجمعية التونسية للمستشارين القانونيين,علمية,تونس,,
الجمعية التونسية للبحث والتجديد في شبكات الإتصال,علمية,تونس,,
الجمعية التونسية للخبراء الماليين والبنكيين,علمية,تونس,,
الجمعية التونسية للدراسات الهندسية,علمية,تونس,25305499,
الجمعية التونسية للخصوبة البشرية,علمية,تونس,,
الجمعية التونسية للعلوم الشرعية,علمية,تونس,,
الجمعية التونسية لتكنولوجيات الطيران والفضاء,علمية,تونس,,
الجمعية التونسية لسلامة الأنظمة المعلوماتية,علمية,تونس,0,0
الجمعية ألسن للترجمة والعلاقات الدولية,علمية,تونس,50567498,
الجمعية للإحصاء وتطبيقاته,علمية,تونس,,
الجمعية المالية,علمية,تونس,0,0
الجمعية المتوسطية للبحوث في علوم الرياضيات,علمية,تونس,,
الجمعية المتوسطية للصناعات الغذائية والزراعية,علمية,تونس,,
الجمعية المركزية التونسية الأنياب,علمية,تونس,,
الجمعية المغاربية للبيوتكنولوجيا بصلامبو تونس,علمية,تونس,0,0
الجمعية المغاربية للسلامة الصحية للأغذية بتونس,علمية,تونس,,
الجمعية المغاربية لتنمية دراسة الموارد البشرية,علمية,تونس,71704329,71704329
الجمعية الأفروتونسية للتغييرات المناخية والتنمية المستديمة,علمية,تونس,0,0
الجمعية المهنية للمندوبين الطبيين أريانة,علمية,تونس,,
الجمعية المهنية للمندوبين الطبيين تونس,علمية,تونس,,
الجمعية المهنية التونسية للبنوك والمؤسسات المالية,علمية,تونس,71904423,71903846
الجمعية المندمجة والتحليل الإحصائي والإقتصادي,علمية,تونس,0,0
الجمعية البحث العلمي من أجل التنمية تونس,علمية,تونس,98349459,71348524
الجمعية التونسية لأمراض الكبد والجهاز الهضمي,علمية,تونس,,
الجمعية التونسية للتشخيص عن بعد,علمية,تونس,,
الجمعية التونسية للتكوين في علم النفس التحليلي,علمية,تونس,,
الجمعية التونسية للدراسات المالية,علمية,تونس,,
الجمعية التونسية للدراسات التاريخية,علمية,تونس,71560840,71567551
الجمعية التونسية للدراسات في علم النفس التحليلي,علمية,تونس,71921145,0
الجمعية التونسية للعلوم والتكنولوجيا والتنمية,علمية,تونس,,
الجمعية التونسية للفلاحة الرقمية,علمية,تونس,0,0
الجمعية التونسية لعلوم الحياة والأرض,علمية,تونس,,
الجمعية التونسية لعلوم وتقنيات الصحة,علمية,تونس,,
