center_code,district_code,district_name,region_code,region_name,center_name,center_name_ar,LATITUDE,LONGITUDE
1001,1,Tunis 1,1000,Hraïria,E.P.ZOUHOUR 4 PROLONGEE HRAIRIA,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية,36.793974,10.121875
1002,1,Tunis 1,1000,Hraïria,E.P.2 MARS 34 HRAIRIA 4 -HRAIRIA,م إبتدائية  2مارس 34 الحرايرية 4 - الحرائرية,36.787866,10.123078
1003,1,Tunis 1,1000,Hraïria,E.P.HRAIRIA 3 -HRAIRIA,م إبتدائية الحرايرية 3 - الحرائرية,36.790492,10.121185
1004,1,Tunis 1,1000,Hraïria,E.P.ZOUHOUR 5 PROLONGEE 1,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس,36.789193,10.109886
1005,1,Tunis 1,1000,Hraïria,E.P. ALMOUMTAD2 EZZOUHOUR 5,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس,36.788784,10.109431
1006,1,Tunis 1,1000,Hraïria,E.P.ZOUHOUR 5-1 -ZOUHOUR 5,م إبتدائية حي الزهور 1/5 - الزهور الخامس,36.792787,10.117346
1007,1,Tunis 1,1000,Hraïria,E.P.OKBA IBN NAFAA 2 -ZHOUR 5,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس,36.788152,10.10206
1008,1,Tunis 1,1000,Hraïria,E.P.CITE ZOUHOUR 5-2,م إبتدائية حي الزهور 5 / 2 - الزهور الخامس,36.789508,10.106536
1009,1,Tunis 1,1000,Hraïria,E.P.OKBA IBN NAFAA 1,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس,36.787875,10.101569
1010,1,Tunis 1,1000,Hraïria,E.P.MECHTEL 1 -AGBA,م إبتدائية المشتل 1 - العقبة,36.793735,10.096394
1011,1,Tunis 1,1000,Hraïria,E.P.MECHTEL 2 AGBA,م إبتدائية المشتل 2 - العقبة,36.788089,10.100729
1012,1,Tunis 1,1000,Hraïria,E.P.CITE ESSAHA HRAIRIA AGBA SUP,م إبتدائية حي الصحة الحرايرية - العقبة العليا,36.792602,10.087417
1013,1,Tunis 1,1000,Hraïria,E.P.GHEDIR EL GOULLA,م إبتدائية غدير القلة,36.779258,10.053083
1014,1,Tunis 1,1000,Hraïria,E.P.CITE EL ANTIT,م إبتدائية حي العنتيت,36.792787,10.117346
1015,1,Tunis 1,1000,Hraïria,E.P.CITE FOLLA,م إبتدائية حي الفلة,36.7971584,10.10535617
1016,1,Tunis 1,1000,Hraïria,E.P.C. BOUZAIEN EZOUHOUR -TAREK IBN ZIED,م إبتدائية حي بوزيان الزهور - طارق بن زياد,36.795704,10.117796
1017,1,Tunis 1,1000,Hraïria,E.P.18 JANVIER HRAIRIA EZZAHROUNI,م إبتدائية 18جانفي الحرايرية - الزهروني,36.79031,10.118644
1018,1,Tunis 1,1000,Hraïria,E.P.EZZAHROUNI,م إبتدائية الزهروني,36.79302664,10.11637641
