pres,leg,plus70,61_70,51_60,41_50,31_40,22_30,18_21,men,women,center,deleg,circ
66.54,72.06,7.4,9.45,17.72,25.68,19.9,16.73,3.11,50.31,49.69,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية,الحرائرية,Tunis1
72.17,73.97,9.77,12.25,15.82,21.58,22.57,15.6,2.42,51.92,48.08,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية,الحرائرية,Tunis1
70.7,72.02,9.8,12.71,15.98,20.21,19.15,17.48,4.68,50.4,49.6,م إبتدائية الحرايرية 3 - الحرائرية,الحرائرية,Tunis1
68.73,71.75,7.93,10.72,16.67,20.73,21.64,17.88,4.44,49.24,50.76,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس,الزهور الخامس,Tunis1
66.62,69.66,5.21,8.91,17.16,23.03,20.64,20.57,4.49,44.53,55.47,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس,الزهور الخامس,Tunis1
67.83,70.14,11.32,12.59,19.51,21.14,18.92,13.72,2.81,50.45,49.55,م إبتدائية حي الزهور 1/5 - الزهور الخامس,الزهور الخامس,Tunis1
67.04,69.12,4.88,11.28,20.65,18.82,19.93,20.05,4.4,49.75,50.25,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس,الزهور الخامس,Tunis1
64.34,66.9,9.63,10.42,17.58,26.06,20.14,14.22,1.94,44.04,55.96,م إبتدائية حي الزهور 5 / 2 - الزهور الخامس,الزهور الخامس,Tunis1
66.8,69.61,6.57,13.45,19.28,16.48,21.58,19.05,3.58,51.24,48.76,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس,الزهور الخامس,Tunis1
71.98,75.8,5.87,10.4,17.73,22.92,23.45,15.59,4.05,51.62,48.38,م إبتدائية المشتل 1 - العقبة,العقبة,Tunis1
74.89,76.34,5.52,10.89,18.72,23.66,20.32,15.24,5.66,49.49,50.51,م إبتدائية المشتل 2 - العقبة,العقبة,Tunis1
75.83,80.95,3.56,8.08,16.87,24.95,22.82,18.6,5.13,50.69,49.31,م إبتدائية حي الصحة الحرايرية - العقبة العليا,العقبة العليا,Tunis1
65.89,71.6,5.6,8.63,19.48,22.97,20,18.54,4.78,55.92,44.08,م إبتدائية غدير القلة ,غدير القلة,Tunis1
71.09,73.89,8.18,13.04,15.17,20.93,23.09,16.33,3.25,47.55,52.45,م إبتدائية حي العنتيت ,العنتيت,Tunis1
73.26,76.24,6.1,10.05,19.25,19.37,21.61,18.86,4.76,49.49,50.51,م إبتدائية حي الفلة ,الفلة,Tunis1
71.95,76.73,8.51,12.95,20.59,17.74,20.24,15.44,4.54,50.46,49.54,م إبتدائية حي بوزيان الزهور - طارق بن زياد,طارق بن زياد,Tunis1
67.75,71.37,4.76,10.29,19.64,19.42,21.15,20.59,4.15,52.2,47.8,م إبتدائية 18جانفي الحرايرية - الزهروني,الزهروني,Tunis1
64.43,67.93,5.26,10.56,18.19,19.37,23.47,19.23,3.92,53.8,46.2,م إبتدائية الزهروني ,الزهروني,Tunis1
65.63,69.45,3.45,9.58,17.83,17.1,24.51,23.29,4.23,53.37,46.63,م إبتدائية حي السلامة - الزهروني,الزهروني,Tunis1
72.33,77.07,9.79,10.29,19.53,23.81,18.55,14.12,3.92,50.17,49.83,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,الزهور,Tunis1
71.02,73.94,8.78,9.73,16.35,23.16,22.52,16.19,3.28,51.94,48.06,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع,الزهور الرابع,Tunis1
73.83,77.59,7.42,10.96,18.32,23.27,19.67,16.66,3.71,48.31,51.69,م إبتدائية العمارية نهج 4157 - السعادة,السعادة,Tunis1
70.08,73.78,8.8,10.6,18.84,22.43,18.73,16.73,3.87,51.46,48.54,م إبتدائية السمران نهج 4137 ,السمران,Tunis1
67.29,70.63,9.59,10.89,16.88,22.21,21.13,16.23,3.07,48.96,51.04,م إبتدائية حي الطيران 1 - حي الطيران,حي الطيران,Tunis1
73.27,75.66,8.8,11.44,18.1,21.95,22.12,14.26,3.33,47.4,52.6,م إبتدائية حي الطيران 2 - حي الطيران,حي الطيران,Tunis1
73.16,74.35,8.08,10.69,14.25,19.24,23.04,21.85,2.85,47.51,52.49,م إبتدائية حي الطيران 3 - حي الطيران,حي الطيران,Tunis1
73.14,75.81,7.54,11.95,19.38,20.33,18.3,18.5,4.01,45.88,54.12,م إبتدائية باش حامبة2 - باش حانبة,باش حانبة,Tunis1
69.53,76.66,8.12,11.69,16.56,19.97,20.94,18.02,4.71,42.46,57.54,م إبتدائية حي بن سديرة - باش حانبة,باش حانبة,Tunis1
63.07,66.52,10.13,11.53,19.99,21.49,18.49,15.57,2.81,49.66,50.34,م إبتدائية 2مارس 34 الملاسين - علي البلهوان,علي البلهوان,Tunis1
56.5,61.37,7.2,8.13,18.47,23.17,21.72,17.48,3.83,58.58,41.42,م إبتدائية النجاح الملاسين,النجاح,Tunis1
61.7,65.25,10.35,12.06,18.23,19.5,21.14,16.81,1.92,45.89,54.11,م إبتدائية باب خالد الملاسين - النجاح,النجاح,Tunis1
68.53,72.53,8.47,10.06,21.96,22.53,18.91,14.9,3.18,54.12,45.88,م إبتدائية الكبارية 1 - الكبارية (1),الكبارية (1),Tunis1
70.61,73.14,11.84,11.21,18.24,24.31,18.16,13.04,3.21,49.63,50.37,م إبتدائية الوردية 2 - الكبارية (2),الكبارية (2),Tunis1
65.31,68.64,8.27,11.56,14.88,20.13,25.04,17.33,2.8,51.85,48.15,م إبتدائية الوردية 6 - الكبارية (3),الكبارية (3),Tunis1
71.74,75.17,9.1,12.27,17.36,19.68,21.11,17.09,3.4,50.3,49.7,م إبتدائية الكبارية 3 - الكبارية (4),الكبارية (4),Tunis1
68.63,71.48,9.87,10.8,18.66,22.52,18.24,16.09,3.82,46.7,53.3,م إبتدائية الكبارية 4 - الكبارية (4),الكبارية (4),Tunis1
71.14,74.01,6,12.35,16.55,18.59,24.1,18.23,4.2,50.54,49.46,م إبتدائية الكبارية 5 - الكبارية (4),الكبارية (4),Tunis1
71.32,71.2,4.46,11.39,22.28,18.44,20.42,18.32,4.7,48.58,51.42,م إبتدائية الحي البلدي - الكبارية (4),الكبارية (4),Tunis1
58.21,60.09,6.41,9.87,17.33,15.75,27.88,19.67,3.09,51.73,48.27,م إبتدائية حي النور 1 - حي النور,حي النور,Tunis1
62.58,67.12,8.22,12.69,18.58,17.96,22.75,18.15,1.66,50.7,49.3,م إبتدائية حي النور 2 - حي النور,حي النور,Tunis1
73.84,75.85,3.33,12.27,20.68,14.41,20.77,22.82,5.73,50.88,49.12,م إبتدائية ابن سينا 1 ,إبن سينا (1),Tunis1
76.14,78.23,3.75,11.57,20.72,18.02,18.4,21.38,6.17,49.59,50.41,م إبتدائية ابن سينا 2 - إبن سينا (1),إبن سينا (1),Tunis1
80.24,82.11,3.39,9.8,25.05,18.12,16.5,21,6.15,50.83,49.17,م إبتدائية الإمتياز (ابن سينا 6 / 1) - إبن سينا (2),إبن سينا (2),Tunis1
82.93,82.49,1.35,8.38,23.35,20.21,13.62,26.35,6.74,46.41,53.59,م إبتدائية محمود المسعيدي (ابن سينا 6 / 2) - إبن سينا (2),إبن سينا (2),Tunis1
79.13,79.41,1.96,8.54,23.25,15.69,18.21,25.63,6.72,50.42,49.58,م إبتدائية ابن سينا 6 / 3 - إبن سينا (2),إبن سينا (2),Tunis1
78.17,81.47,1.89,7.54,24.88,22.34,14.14,21.68,7.54,50.14,49.86,م إبتدائية النجمة الزهراء (ابن سينا 4/6الكبارية) - إبن سينا (2),إبن سينا (2),Tunis1
74.51,76.95,3.75,11.65,20.55,16.96,20.66,21.97,4.45,48.89,51.11,م إبتدائية المروج 2ابن خلدون - المروج (2),المروج (2),Tunis1
72.38,76.14,2.58,10.28,20.38,17.8,20.61,23.19,5.17,47.95,52.05,م إبتدائية المروج 2 الغزالي - المروج (2),المروج (2),Tunis1
76.45,80.76,1.16,9.45,16.92,20.56,25.37,20.73,5.8,51.58,48.42,م إبتدائية الهناء المروج2,المروج (2),Tunis1
68.33,71.37,8.63,10.47,20.88,20.93,19.12,17.18,2.78,51.22,48.78,م إبتدائية نهج الحكيم كسار - الحفصية,الحفصية,Tunis1
72.84,75.94,7.94,11.88,19.05,20.79,18.33,17.62,4.39,54,46,م إبتدائية نهج المر - باب منارة,باب المنارة,Tunis1
71.24,74.97,7.22,11.12,22.84,19.53,15.98,19.53,3.79,51.72,48.28,م إبتدائية ساحة معقل الزعيم - باب منارة,باب المنارة,Tunis1
70.04,72.53,8.59,13.1,21.83,21.25,16.23,15.55,3.47,53.49,46.51,م إبتدائية باب الجديد - تربة الباي,تربة الباي,Tunis1
64.91,68.28,9.57,11.64,21.45,22.52,18.74,13.65,2.42,63.14,36.86,م إبتدائية نهج كتاب الوزير - سيدي علي عزوز, سيدي علي عزوز,Tunis1
70.62,74,4.9,8.32,17.89,22.48,19.33,19.95,7.12,50.84,49.16,م إبتدائية الصادقية نهج سنان باشا - التوفيق,التوفيق,Tunis1
72.01,75.18,8.57,9.8,20.13,21.77,18.44,16.87,4.43,53.53,46.47,م إبتدائية الوفاء نهج صالح المالقي - الوردية,الوردية,Tunis1
74.67,77.48,6.74,10.87,20.92,21.09,18.1,17.05,5.23,52.4,47.6,م إبتدائية بالفي نهج الخروبة - الحبيب بو قطفة,بوقطفة,Tunis1
77.62,81.8,5.13,7.19,20.51,23.72,18.82,19.51,5.13,50.11,49.89,م إبتدائية حي الازدهار الوردية ,حي الإزدهار,Tunis1
80.44,84.04,6.14,8.39,21.43,22.44,17.45,17.88,6.28,47.51,52.49,م إبتدائية 2مارس لاكانيا - الازدهار,حي الإزدهار,Tunis1
75.23,77.63,9.88,9.93,19.99,22.09,16.91,16.64,4.56,51.41,48.59,م إبتدائية الوردية 1 - حي محمّد علي,حي محمد علي,Tunis1
71.66,74.26,8.52,9.43,20.83,20.83,19.78,17.31,3.31,47.82,52.18,م إبتدائية حي محمد علي الوردية,حي محمد علي,Tunis1
65.81,69.51,10.94,10.36,21.78,21.14,17.63,15.41,2.74,49.92,50.08,م إبتدائية نهج لاصوم - سيدي بالحسن,سيدي بلحسن,Tunis1
63.89,67.05,4.77,7.76,15.58,19.1,23.17,25.14,4.48,57.48,42.52,م إبتدائية نهج شارل ديقول - باب بحر,باب البحر,Tunis1
69.48,72.43,5.03,8.29,18.2,20.52,21.07,20.57,6.32,57.45,42.55,م إبتدائية نهج روسيا عدد17 - باب بحر,باب البحر,Tunis1
69.83,72.35,5.98,9.53,18.37,20.13,20.65,20.93,4.41,55.73,44.27,م إبتدائية 16نهج روسيا - باب بحر,باب البحر,Tunis1
77.71,80.01,7.1,10.84,16.1,19.06,23.81,19.37,3.73,53.32,46.68,م إبتدائية 18نهج الهند - الحدائق,الحدائق,Tunis1
74.75,77.23,7.34,10.06,18.11,21.54,20.71,18.76,3.49,54.29,45.71,م إبتدائية 80نهج عبد الرزاق الشرايبي - بحيرة تونس,بحيرة تونس,Tunis1
72.07,74.44,4.93,9.02,14.86,17.65,24.61,24.4,4.54,58.49,41.51,م إبتدائية 29نهج مرسيليا - الحبيب ثامر,الحبيب ثامر,Tunis1
67.93,70.97,7.35,10.39,15.85,20.21,24.56,18.52,3.12,51.54,48.46,م إبتدائية 12نهج علي الجليلي - الهادي شاكر,الهادي شاكر,Tunis1
69.15,71.84,7.72,12.03,18.81,20.95,21.26,16.18,3.05,51.45,48.55,م إبتدائية نهج الإدريسي - سيدي البحري,سيدي البحري,Tunis1
70.38,71.87,6.48,10.59,17.31,19.56,21.46,20.21,4.4,52.81,47.19,م إبتدائية 3نهج قليبية - باب الخضراء,باب الخضراء,Tunis1
65.22,67.54,8.18,11.71,19.44,20.76,19.82,16.57,3.53,50.42,49.58,م إبتدائية نهج الأقواس - باب سعدون,باب سعدون,Tunis1
73.47,76.29,8.97,13.3,21.66,19.77,16.44,15.99,3.87,51.78,48.22,م إبتدائية ساحة سيدي العلوي - الحلفاوين,الحلفاوين,Tunis1
73.22,76.88,6.77,11.78,20.23,21.59,17.82,17.32,4.5,54.13,45.87,م إبتدائية 55نهج باب سويقة,باب سويقة,Tunis1
70.94,73.15,8.13,7.56,21.94,22.84,20.46,14.79,4.27,54.27,45.73,م إبتدائية حي ثامر جبل الجلود - سيدي فتح الله,سيدي فتح الله,Tunis1
65.91,71.02,7.51,10.3,22.37,21.36,18.72,15.88,3.86,46.88,53.12,م إبتدائية نهج حمام الأنف جبل الجلود - باش حامبة,علي باش حانبة,Tunis1
65.37,69.66,9.1,9.69,20.09,21.98,17.95,17.56,3.64,48.15,51.85,م إبتدائية نهج فليب فيل جبل الجلود - باش حامبة,علي باش حانبة,Tunis1
68.53,71.52,9.19,11.69,19.29,21.61,19.36,15.64,3.23,53.62,46.38,م إبتدائية طريق لاكانيا جبل الجلود - القرجومة,القرجومة,Tunis1
67.22,70.5,9.13,13.04,18.18,19.83,22.15,14.59,3.09,49.07,50.93,م إبتدائية سيدي فتح الله 1 - حي الفتح,حي الفتح,Tunis1
61.66,67.01,4.87,9.67,18.04,22.98,24.07,15.91,4.46,47.46,52.54,م إبتدائية سيدي فتح الله 2 جبل الجلود - حي الفتح,حي الفتح,Tunis1
72.35,75.13,4.44,10.44,18.36,18.36,20.8,21.24,6.35,49.48,50.52,م إبتدائية نهج كرباكة مونفلوري - فرحات حشاد,فرحات حشاد,Tunis1
